Class	Mol. Formula	C	H	N	DBE	Intensity
NO2	C53H77NO2	53	77	1	16	2530.284912
NO2	C53H79NO2	53	79	1	15	2372.616943
NO2	C53H81NO2	53	81	1	14	2535.902832
NO2	C54H71NO2	54	71	1	20	1358.930054
NO2	C53H83NO2	53	83	1	13	2252.487793
NO2	C54H73NO2	54	73	1	19	1521.203003
NO2	C53H85NO2	53	85	1	12	2591.606934
NO2	C54H75NO2	54	75	1	18	1923.363892
NO2	C53H87NO2	53	87	1	11	1977.691895
NO2	C54H77NO2	54	77	1	17	2043.967041
NO2	C54H81NO2	54	81	1	15	2148.357666
NO2	C54H83NO2	54	83	1	14	2418.595215
NO2	C54H85NO2	54	85	1	13	2484.825684
NO2	C54H87NO2	54	87	1	12	2173.220459
NO2	C55H77NO2	55	77	1	18	1680.137573
NO2	C54H89NO2	54	89	1	11	1984.444336
NO2	C55H79NO2	55	79	1	17	1541.935181
NO2	C55H81NO2	55	81	1	16	2052.444580
NO2	C55H83NO2	55	83	1	15	2356.204102
NO2	C55H85NO2	55	85	1	14	1919.382446
NO2	C55H87NO2	55	87	1	13	1860.509399
NO2	C56H77NO2	56	77	1	19	1435.551880
NO2	C55H89NO2	55	89	1	12	1772.882324
NO2	C56H79NO2	56	79	1	18	1900.915771
NO2	C55H91NO2	55	91	1	11	1300.357910
NO2	C56H81NO2	56	81	1	17	1581.775391
NO2	C55H93NO2	55	93	1	10	1276.706421
NO2	C56H83NO2	56	83	1	16	1719.198853
NO2	C56H85NO2	56	85	1	15	2060.769775
NO2	C56H87NO2	56	87	1	14	1885.048096
NO2	C56H89NO2	56	89	1	13	1713.043457
NO2	C57H79NO2	57	79	1	19	1156.508179
NO2	C56H91NO2	56	91	1	12	1271.316528
NO2	C57H81NO2	57	81	1	18	1316.510010
NO2	C56H93NO2	56	93	1	11	1321.695679
NO2	C57H83NO2	57	83	1	17	1255.258911
NO2	C57H85NO2	57	85	1	16	1574.379272
NO2	C57H89NO2	57	89	1	14	1602.380859
NO2	C57H91NO2	57	91	1	13	1310.999268
NO2	C57H93NO2	57	93	1	12	1130.302856
NO2	C58H83NO2	58	83	1	18	1472.809326
NO2	C57H95NO2	57	95	1	11	1202.900757
NO2	C58H85NO2	58	85	1	17	1435.839111
NO2	C58H87NO2	58	87	1	16	1708.281982
NO2	C58H89NO2	58	89	1	15	1581.709229
NO2	C58H91NO2	58	91	1	14	1745.646729
NO2	C58H93NO2	58	93	1	13	1323.871704
NO2	C58H95NO2	58	95	1	12	1420.756714
NO2	C59H85NO2	59	85	1	18	1173.393677
NO2	C58H97NO2	58	97	1	11	1143.604736
NO2	C59H89NO2	59	89	1	16	1164.654785
NO2	C59H91NO2	59	91	1	15	1488.838501
NO2	C59H93NO2	59	93	1	14	1276.448853
NO2	C59H97NO2	59	97	1	12	1252.775269
NO2	C60H93NO2	60	93	1	15	1162.000000
NO2	C61H97NO2	61	97	1	14	1244.419678
NO2	C61H99NO2	61	99	1	13	1153.889648
NO2	C61H101NO2	61	101	1	12	1145.848022
NO3	C24H27NO3	24	27	1	12	1129.992798
NO3	C25H33NO3	25	33	1	10	1197.246948
NO3	C26H31NO3	26	31	1	12	1427.195190
NO3	C26H33NO3	26	33	1	11	2817.215332
NO3	C26H35NO3	26	35	1	10	1418.805054
NO3	C26H37NO3	26	37	1	9	1174.881958
NO3	C27H31NO3	27	31	1	13	1133.906494
NO3	C27H33NO3	27	33	1	12	1749.309814
NO3	C27H35NO3	27	35	1	11	2833.608887
NO3	C27H37NO3	27	37	1	10	1750.135742
NO3	C27H39NO3	27	39	1	9	1289.014160
NO3	C27H41NO3	27	41	1	8	1298.568481
NO3	C28H31NO3	28	31	1	14	1202.992676
NO3	C27H43NO3	27	43	1	7	1176.157837
NO3	C28H33NO3	28	33	1	13	1929.074829
NO3	C28H35NO3	28	35	1	12	1869.504395
NO3	C28H37NO3	28	37	1	11	2557.682129
NO3	C28H39NO3	28	39	1	10	1928.446533
NO3	C28H41NO3	28	41	1	9	1369.877563
NO3	C29H31NO3	29	31	1	15	1206.313232
NO3	C28H43NO3	28	43	1	8	1371.421875
NO3	C29H33NO3	29	33	1	14	1417.303467
NO3	C29H35NO3	29	35	1	13	1856.545288
NO3	C29H37NO3	29	37	1	12	1834.608643
NO3	C29H39NO3	29	39	1	11	2016.757324
NO3	C29H41NO3	29	41	1	10	2187.158203
NO3	C29H43NO3	29	43	1	9	1838.123047
NO3	C29H45NO3	29	45	1	8	1669.234863
NO3	C30H35NO3	30	35	1	14	1553.518066
NO3	C29H47NO3	29	47	1	7	1560.169312
NO3	C30H37NO3	30	37	1	13	2159.569336
NO3	C30H39NO3	30	39	1	12	2076.689209
NO3	C30H41NO3	30	41	1	11	2142.721191
NO3	C30H43NO3	30	43	1	10	2253.168945
NO3	C30H45NO3	30	45	1	9	1965.239014
NO3	C31H35NO3	31	35	1	15	1507.269897
NO3	C30H47NO3	30	47	1	8	2029.173584
NO3	C31H37NO3	31	37	1	14	1817.808228
NO3	C30H49NO3	30	49	1	7	1302.229492
NO3	C31H39NO3	31	39	1	13	2387.175781
NO3	C31H41NO3	31	41	1	12	2231.359619
NO3	C31H43NO3	31	43	1	11	2989.558350
NO3	C31H45NO3	31	45	1	10	2840.212891
NO3	C32H35NO3	32	35	1	16	1252.830688
NO3	C31H47NO3	31	47	1	9	2416.773438
NO3	C32H37NO3	32	37	1	15	1861.411377
NO3	C31H49NO3	31	49	1	8	1809.955444
NO3	C32H39NO3	32	39	1	14	2293.990967
NO3	C31H51NO3	31	51	1	7	1479.323364
NO3	C32H41NO3	32	41	1	13	2668.738770
NO3	C32H43NO3	32	43	1	12	2552.504883
NO3	C32H45NO3	32	45	1	11	2914.809326
NO3	C32H47NO3	32	47	1	10	2613.355469
NO3	C33H37NO3	33	37	1	16	1623.795532
NO3	C32H49NO3	32	49	1	9	2463.367676
NO3	C33H39NO3	33	39	1	15	2169.564453
NO3	C32H51NO3	32	51	1	8	2302.426514
NO3	C33H41NO3	33	41	1	14	2681.170654
NO3	C32H53NO3	32	53	1	7	1306.823364
NO3	C33H43NO3	33	43	1	13	2814.584473
NO3	C33H45NO3	33	45	1	12	2811.651611
NO3	C33H47NO3	33	47	1	11	3510.293701
NO3	C34H37NO3	34	37	1	17	1252.904785
NO3	C33H49NO3	33	49	1	10	3347.370361
NO3	C34H39NO3	34	39	1	16	1952.482788
NO3	C33H51NO3	33	51	1	9	2803.297363
NO3	C34H41NO3	34	41	1	15	2266.218506
NO3	C33H53NO3	33	53	1	8	2609.785156
NO3	C34H43NO3	34	43	1	14	2869.085449
NO3	C33H55NO3	33	55	1	7	1819.554688
NO3	C34H45NO3	34	45	1	13	3156.782471
NO3	C34H47NO3	34	47	1	12	3739.066406
NO3	C35H37NO3	35	37	1	18	1190.456909
NO3	C34H49NO3	34	49	1	11	3940.635986
NO3	C35H39NO3	35	39	1	17	1802.546997
NO3	C34H51NO3	34	51	1	10	3648.565430
NO3	C35H41NO3	35	41	1	16	2088.056641
NO3	C34H53NO3	34	53	1	9	3514.922852
NO3	C35H43NO3	35	43	1	15	2694.854736
NO3	C34H55NO3	34	55	1	8	3560.632812
NO3	C35H45NO3	35	45	1	14	3402.476318
NO3	C34H57NO3	34	57	1	7	1963.650757
NO3	C35H47NO3	35	47	1	13	3503.668213
NO3	C34H59NO3	34	59	1	6	1485.563477
NO3	C35H49NO3	35	49	1	12	3597.293457
NO3	C36H39NO3	36	39	1	18	1216.337158
NO3	C35H51NO3	35	51	1	11	4551.639160
NO3	C36H41NO3	36	41	1	17	2175.714355
NO3	C35H53NO3	35	53	1	10	4528.518066
NO3	C36H43NO3	36	43	1	16	2538.455811
NO3	C35H55NO3	35	55	1	9	3308.687744
NO3	C36H45NO3	36	45	1	15	3667.900635
NO3	C35H57NO3	35	57	1	8	3493.222168
NO3	C36H47NO3	36	47	1	14	4006.821045
NO3	C35H59NO3	35	59	1	7	2190.373779
NO3	C36H49NO3	36	49	1	13	4715.827148
NO3	C36H51NO3	36	51	1	12	4436.027832
NO3	C37H41NO3	37	41	1	18	1502.398193
NO3	C36H53NO3	36	53	1	11	5077.316406
NO3	C37H43NO3	37	43	1	17	2087.563721
NO3	C36H55NO3	36	55	1	10	5878.578125
NO3	C37H45NO3	37	45	1	16	2713.540039
NO3	C36H57NO3	36	57	1	9	4415.857910
NO3	C37H47NO3	37	47	1	15	3908.202881
NO3	C36H59NO3	36	59	1	8	3542.760742
NO3	C37H49NO3	37	49	1	14	4335.640137
NO3	C36H61NO3	36	61	1	7	2722.831299
NO3	C37H51NO3	37	51	1	13	5108.258301
NO3	C36H63NO3	36	63	1	6	1240.594849
NO3	C38H41NO3	38	41	1	19	1321.793213
NO3	C37H53NO3	37	53	1	12	5315.860352
NO3	C38H43NO3	38	43	1	18	2217.567139
NO3	C37H55NO3	37	55	1	11	5225.455566
NO3	C38H45NO3	38	45	1	17	2377.044678
NO3	C37H57NO3	37	57	1	10	8299.260742
NO3	C38H47NO3	38	47	1	16	3677.649902
NO3	C37H59NO3	37	59	1	9	4208.061523
NO3	C38H49NO3	38	49	1	15	4233.144531
NO3	C37H61NO3	37	61	1	8	2968.666748
NO3	C38H51NO3	38	51	1	14	4569.597168
NO3	C37H63NO3	37	63	1	7	2495.653320
NO3	C38H53NO3	38	53	1	13	5973.495605
NO3	C37H65NO3	37	65	1	6	1526.550903
NO3	C39H43NO3	39	43	1	19	1514.673218
NO3	C38H55NO3	38	55	1	12	6350.166016
NO3	C39H45NO3	39	45	1	18	1975.749023
NO3	C38H57NO3	38	57	1	11	6466.139648
NO3	C39H47NO3	39	47	1	17	2984.331787
NO3	C38H59NO3	38	59	1	10	8652.653320
NO3	C39H49NO3	39	49	1	16	3330.735840
NO3	C38H61NO3	38	61	1	9	3923.030518
NO3	C39H51NO3	39	51	1	15	4283.686523
NO3	C38H63NO3	38	63	1	8	3108.285889
NO3	C39H53NO3	39	53	1	14	5045.284668
NO3	C38H65NO3	38	65	1	7	2307.350098
NO3	C40H43NO3	40	43	1	20	1314.973145
NO3	C39H55NO3	39	55	1	13	5361.517578
NO3	C38H67NO3	38	67	1	6	1379.491943
NO3	C40H45NO3	40	45	1	19	1805.046753
NO3	C39H57NO3	39	57	1	12	6137.000000
NO3	C40H47NO3	40	47	1	18	2244.698242
NO3	C39H59NO3	39	59	1	11	5842.894531
NO3	C40H49NO3	40	49	1	17	3015.469482
NO3	C39H61NO3	39	61	1	10	8837.393555
NO3	C40H51NO3	40	51	1	16	3978.459229
NO3	C39H63NO3	39	63	1	9	3916.768311
NO3	C40H53NO3	40	53	1	15	4669.690918
NO3	C39H65NO3	39	65	1	8	3131.399414
NO3	C40H55NO3	40	55	1	14	5059.854492
NO3	C39H67NO3	39	67	1	7	2233.491699
NO3	C40H57NO3	40	57	1	13	6456.820801
NO3	C39H69NO3	39	69	1	6	1380.650146
NO3	C41H47NO3	41	47	1	19	1785.462280
NO3	C40H59NO3	40	59	1	12	6258.602539
NO3	C41H49NO3	41	49	1	18	2326.515869
NO3	C40H61NO3	40	61	1	11	6753.868164
NO3	C41H51NO3	41	51	1	17	3233.211426
NO3	C40H63NO3	40	63	1	10	8445.960938
NO3	C41H53NO3	41	53	1	16	3777.005371
NO3	C40H65NO3	40	65	1	9	3333.544678
NO3	C41H55NO3	41	55	1	15	4632.896973
NO3	C40H67NO3	40	67	1	8	3109.738281
NO3	C41H57NO3	41	57	1	14	5455.572266
NO3	C40H69NO3	40	69	1	7	1992.626221
NO3	C41H59NO3	41	59	1	13	6912.721680
NO3	C40H71NO3	40	71	1	6	1147.887817
NO3	C42H49NO3	42	49	1	19	1803.494141
NO3	C41H61NO3	41	61	1	12	5386.126465
NO3	C42H51NO3	42	51	1	18	2348.910400
NO3	C41H63NO3	41	63	1	11	6115.052246
NO3	C42H53NO3	42	53	1	17	2854.575439
NO3	C41H65NO3	41	65	1	10	6039.705078
NO3	C42H55NO3	42	55	1	16	3790.377930
NO3	C41H67NO3	41	67	1	9	3356.452148
NO3	C42H57NO3	42	57	1	15	4377.045410
NO3	C41H69NO3	41	69	1	8	2613.306885
NO3	C42H59NO3	42	59	1	14	5463.553711
NO3	C41H71NO3	41	71	1	7	1853.132324
NO3	C43H49NO3	43	49	1	20	1352.819702
NO3	C42H61NO3	42	61	1	13	6169.914551
NO3	C43H51NO3	43	51	1	19	1793.318481
NO3	C42H63NO3	42	63	1	12	5844.789062
NO3	C43H53NO3	43	53	1	18	2601.912842
NO3	C42H65NO3	42	65	1	11	6620.553223
NO3	C43H55NO3	43	55	1	17	2787.176270
NO3	C42H67NO3	42	67	1	10	5232.031250
NO3	C43H57NO3	43	57	1	16	3528.418945
NO3	C42H69NO3	42	69	1	9	2970.145020
NO3	C43H59NO3	43	59	1	15	3800.918213
NO3	C42H71NO3	42	71	1	8	2304.709961
NO3	C43H61NO3	43	61	1	14	5207.343750
NO3	C42H73NO3	42	73	1	7	1591.274292
NO3	C44H51NO3	44	51	1	20	1577.274414
NO3	C43H63NO3	43	63	1	13	5927.002930
NO3	C44H53NO3	44	53	1	19	1948.764771
NO3	C43H65NO3	43	65	1	12	5121.916504
NO3	C44H55NO3	44	55	1	18	2230.873291
NO3	C43H67NO3	43	67	1	11	6469.326172
NO3	C44H57NO3	44	57	1	17	3042.896240
NO3	C43H69NO3	43	69	1	10	4696.041016
NO3	C44H59NO3	44	59	1	16	3844.757568
NO3	C43H71NO3	43	71	1	9	2811.530273
NO3	C44H61NO3	44	61	1	15	4322.711426
NO3	C43H73NO3	43	73	1	8	2207.442871
NO3	C45H51NO3	45	51	1	21	1464.970581
NO3	C44H63NO3	44	63	1	14	5342.751465
NO3	C43H75NO3	43	75	1	7	1379.758789
NO3	C45H53NO3	45	53	1	20	1619.374756
NO3	C44H65NO3	44	65	1	13	5774.613281
NO3	C45H55NO3	45	55	1	19	1734.681519
NO3	C44H67NO3	44	67	1	12	4778.343262
NO3	C45H57NO3	45	57	1	18	2312.131104
NO3	C44H69NO3	44	69	1	11	6201.367676
NO3	C45H59NO3	45	59	1	17	3033.326904
NO3	C44H71NO3	44	71	1	10	3246.159180
NO3	C45H61NO3	45	61	1	16	3289.948975
NO3	C44H73NO3	44	73	1	9	2289.237793
NO3	C45H63NO3	45	63	1	15	4084.294922
NO3	C44H75NO3	44	75	1	8	2161.615723
NO3	C45H65NO3	45	65	1	14	4730.275879
NO3	C46H55NO3	46	55	1	20	1637.439697
NO3	C45H67NO3	45	67	1	13	4950.629395
NO3	C46H57NO3	46	57	1	19	1952.111206
NO3	C45H69NO3	45	69	1	12	4849.942871
NO3	C46H59NO3	46	59	1	18	2500.711670
NO3	C45H71NO3	45	71	1	11	4467.921387
NO3	C46H61NO3	46	61	1	17	3011.235352
NO3	C45H73NO3	45	73	1	10	3168.320312
NO3	C46H63NO3	46	63	1	16	4010.558105
NO3	C45H75NO3	45	75	1	9	2137.811035
NO3	C46H65NO3	46	65	1	15	4025.019043
NO3	C45H77NO3	45	77	1	8	1903.268433
NO3	C47H55NO3	47	55	1	21	1156.402100
NO3	C46H67NO3	46	67	1	14	4394.003418
NO3	C45H79NO3	45	79	1	7	1210.943726
NO3	C47H57NO3	47	57	1	20	1803.694824
NO3	C46H69NO3	46	69	1	13	4184.039551
NO3	C47H59NO3	47	59	1	19	2344.974121
NO3	C46H71NO3	46	71	1	12	4996.517090
NO3	C47H61NO3	47	61	1	18	2697.491699
NO3	C46H73NO3	46	73	1	11	4510.247070
NO3	C47H63NO3	47	63	1	17	3788.869385
NO3	C46H75NO3	46	75	1	10	3243.858398
NO3	C47H65NO3	47	65	1	16	3989.334229
NO3	C46H77NO3	46	77	1	9	2173.767578
NO3	C47H67NO3	47	67	1	15	4780.118652
NO3	C46H79NO3	46	79	1	8	1548.257568
NO3	C48H57NO3	48	57	1	21	1431.690674
NO3	C47H69NO3	47	69	1	14	5056.365234
NO3	C46H81NO3	46	81	1	7	1292.879150
NO3	C48H59NO3	48	59	1	20	1741.480957
NO3	C47H71NO3	47	71	1	13	4443.993652
NO3	C48H61NO3	48	61	1	19	2248.529785
NO3	C47H73NO3	47	73	1	12	4718.514160
NO3	C48H63NO3	48	63	1	18	2742.629883
NO3	C47H75NO3	47	75	1	11	4078.346191
NO3	C48H65NO3	48	65	1	17	3482.771484
NO3	C47H77NO3	47	77	1	10	2788.804932
NO3	C48H67NO3	48	67	1	16	3738.458008
NO3	C47H79NO3	47	79	1	9	2281.851807
NO3	C48H69NO3	48	69	1	15	4078.610352
NO3	C47H81NO3	47	81	1	8	1653.982544
NO3	C49H59NO3	49	59	1	21	1155.702637
NO3	C48H71NO3	48	71	1	14	4327.730469
NO3	C47H83NO3	47	83	1	7	1179.887695
NO3	C49H61NO3	49	61	1	20	1778.311523
NO3	C48H73NO3	48	73	1	13	4066.854492
NO3	C49H63NO3	49	63	1	19	2120.782227
NO3	C48H75NO3	48	75	1	12	3906.366455
NO3	C49H65NO3	49	65	1	18	2805.952881
NO3	C48H77NO3	48	77	1	11	3297.629639
NO3	C49H67NO3	49	67	1	17	3470.660156
NO3	C48H79NO3	48	79	1	10	2148.303711
NO3	C49H69NO3	49	69	1	16	3195.399902
NO3	C48H81NO3	48	81	1	9	1929.510010
NO3	C49H71NO3	49	71	1	15	4354.910156
NO3	C48H83NO3	48	83	1	8	1423.682373
NO3	C50H61NO3	50	61	1	21	1144.360474
NO3	C49H73NO3	49	73	1	14	4488.593750
NO3	C50H63NO3	50	63	1	20	1471.956909
NO3	C49H75NO3	49	75	1	13	3997.002197
NO3	C50H65NO3	50	65	1	19	2214.205566
NO3	C49H77NO3	49	77	1	12	3527.491699
NO3	C50H67NO3	50	67	1	18	2512.491699
NO3	C49H79NO3	49	79	1	11	2876.356689
NO3	C50H69NO3	50	69	1	17	2891.348389
NO3	C49H81NO3	49	81	1	10	2516.839111
NO3	C50H71NO3	50	71	1	16	3028.641357
NO3	C49H83NO3	49	83	1	9	1683.440186
NO3	C50H73NO3	50	73	1	15	3586.351074
NO3	C49H85NO3	49	85	1	8	1220.743408
NO3	C50H75NO3	50	75	1	14	3499.262207
NO3	C51H65NO3	51	65	1	20	1675.912964
NO3	C50H77NO3	50	77	1	13	3564.677490
NO3	C51H67NO3	51	67	1	19	2091.950684
NO3	C50H79NO3	50	79	1	12	2891.730225
NO3	C51H69NO3	51	69	1	18	2302.170166
NO3	C50H81NO3	50	81	1	11	2546.825928
NO3	C51H71NO3	51	71	1	17	2462.512207
NO3	C50H83NO3	50	83	1	10	1924.642822
NO3	C51H73NO3	51	73	1	16	2791.621826
NO3	C50H85NO3	50	85	1	9	1712.977661
NO3	C51H75NO3	51	75	1	15	3030.092773
NO3	C52H65NO3	52	65	1	21	1418.517944
NO3	C51H77NO3	51	77	1	14	2898.642822
NO3	C52H67NO3	52	67	1	20	1589.744263
NO3	C51H79NO3	51	79	1	13	3106.300781
NO3	C52H69NO3	52	69	1	19	1756.134644
NO3	C51H81NO3	51	81	1	12	2489.496338
NO3	C52H71NO3	52	71	1	18	2556.370850
NO3	C51H83NO3	51	83	1	11	2436.462891
NO3	C52H73NO3	52	73	1	17	2678.316895
NO3	C51H85NO3	51	85	1	10	2210.654541
NO3	C52H75NO3	52	75	1	16	2699.485840
NO3	C51H87NO3	51	87	1	9	1413.428833
NO3	C52H77NO3	52	77	1	15	2610.001221
NO3	C52H79NO3	52	79	1	14	2579.270508
NO3	C53H69NO3	53	69	1	20	1546.995361
NO3	C52H81NO3	52	81	1	13	2603.412842
NO3	C53H71NO3	53	71	1	19	1827.547852
NO3	C52H83NO3	52	83	1	12	2372.194824
NO3	C53H73NO3	53	73	1	18	2390.117920
NO3	C52H85NO3	52	85	1	11	2093.017334
NO3	C53H75NO3	53	75	1	17	2241.681396
NO3	C52H87NO3	52	87	1	10	1688.947510
NO3	C53H77NO3	53	77	1	16	2283.401611
NO3	C52H89NO3	52	89	1	9	1270.405640
NO3	C53H79NO3	53	79	1	15	2685.883057
NO3	C54H69NO3	54	69	1	21	1451.525269
NO3	C53H81NO3	53	81	1	14	3057.544922
NO3	C54H71NO3	54	71	1	20	1537.093628
NO3	C53H83NO3	53	83	1	13	2780.430176
NO3	C54H73NO3	54	73	1	19	1748.461304
NO3	C53H85NO3	53	85	1	12	2535.745361
NO3	C54H75NO3	54	75	1	18	2230.696045
NO3	C53H87NO3	53	87	1	11	2166.781738
NO3	C54H77NO3	54	77	1	17	2615.327637
NO3	C53H89NO3	53	89	1	10	1414.678955
NO3	C54H79NO3	54	79	1	16	2288.446289
NO3	C53H91NO3	53	91	1	9	1143.374634
NO3	C54H81NO3	54	81	1	15	2339.583740
NO3	C54H83NO3	54	83	1	14	2456.422607
NO3	C55H73NO3	55	73	1	20	1492.140625
NO3	C54H85NO3	54	85	1	13	2333.396729
NO3	C55H75NO3	55	75	1	19	1665.468262
NO3	C54H87NO3	54	87	1	12	1960.997314
NO3	C55H77NO3	55	77	1	18	1787.487671
NO3	C54H89NO3	54	89	1	11	1553.753540
NO3	C55H79NO3	55	79	1	17	2408.010010
NO3	C54H91NO3	54	91	1	10	1468.541626
NO3	C55H81NO3	55	81	1	16	2694.147705
NO3	C55H83NO3	55	83	1	15	2085.872314
NO3	C56H73NO3	56	73	1	21	1171.845459
NO3	C55H85NO3	55	85	1	14	2099.412598
NO3	C56H75NO3	56	75	1	20	1170.734863
NO3	C55H87NO3	55	87	1	13	2088.804443
NO3	C56H77NO3	56	77	1	19	1706.246582
NO3	C55H89NO3	55	89	1	12	1829.201538
NO3	C56H79NO3	56	79	1	18	1467.576904
NO3	C55H91NO3	55	91	1	11	1264.017578
NO3	C56H81NO3	56	81	1	17	2112.671387
NO3	C55H93NO3	55	93	1	10	1176.212769
NO3	C56H83NO3	56	83	1	16	1932.810059
NO3	C56H85NO3	56	85	1	15	1789.261597
NO3	C56H87NO3	56	87	1	14	1818.878662
NO3	C57H77NO3	57	77	1	20	1141.435791
NO3	C56H89NO3	56	89	1	13	2151.490234
NO3	C57H79NO3	57	79	1	19	1508.673950
NO3	C56H91NO3	56	91	1	12	1624.293823
NO3	C57H81NO3	57	81	1	18	1561.694336
NO3	C56H93NO3	56	93	1	11	1589.383789
NO3	C57H83NO3	57	83	1	17	1988.971680
NO3	C56H95NO3	56	95	1	10	1170.721924
NO3	C57H85NO3	57	85	1	16	1517.471191
NO3	C57H87NO3	57	87	1	15	1775.870239
NO3	C58H79NO3	58	79	1	20	1344.072510
NO3	C57H91NO3	57	91	1	13	1884.311523
NO3	C58H81NO3	58	81	1	19	1417.688232
NO3	C57H93NO3	57	93	1	12	1415.928345
NO3	C58H83NO3	58	83	1	18	1692.230957
NO3	C58H85NO3	58	85	1	17	1372.787964
NO3	C57H97NO3	57	97	1	10	1158.322876
NO3	C58H89NO3	58	89	1	15	1709.621704
NO3	C58H93NO3	58	93	1	13	1299.644897
NO3	C59H83NO3	59	83	1	19	1240.035767
NO3	C58H95NO3	58	95	1	12	1539.506348
NO3	C58H97NO3	58	97	1	11	1238.037476
NO3	C59H87NO3	59	87	1	17	1240.566772
NO3	C59H89NO3	59	89	1	16	1588.730713
NO3	C59H91NO3	59	91	1	15	1502.619873
NO3	C59H93NO3	59	93	1	14	1810.274780
NO3	C59H95NO3	59	95	1	13	1259.357300
NO3	C60H87NO3	60	87	1	18	1231.281250
NO3	C60H89NO3	60	89	1	17	1354.759766
NO3	C60H91NO3	60	91	1	16	1529.751221
NO3	C60H95NO3	60	95	1	14	1358.494629
NO3	C60H97NO3	60	97	1	13	1184.146240
NO3	C61H93NO3	61	93	1	16	1505.604248
NO3	C61H97NO3	61	97	1	14	1200.948853
NO3	C62H91NO3	62	91	1	18	1215.848022
NO3	C62H93NO3	62	93	1	17	1243.688232
NO3	C62H95NO3	62	95	1	16	1457.463379
OS	C38H54OS	38	54	0	12	2224.270996
OS	C38H62OS	38	62	0	8	1695.057739
OS	C39H54OS	39	54	0	13	1936.604614
OS	C39H60OS	39	60	0	10	2360.719727
OS	C40H52OS	40	52	0	15	1355.308716
OS	C40H54OS	40	54	0	14	1561.799072
OS	C40H56OS	40	56	0	13	1860.884888
OS	C41H52OS	41	52	0	16	1253.038574
OS	C41H54OS	41	54	0	15	1322.296265
OS	C40H66OS	40	66	0	8	1413.069092
OS	C41H56OS	41	56	0	14	1759.995483
OS	C41H58OS	41	58	0	13	2282.294922
OS	C41H64OS	41	64	0	10	2311.829834
OS	C42H54OS	42	54	0	16	1258.238647
OS	C42H64OS	42	64	0	11	2388.063721
OS	C42H66OS	42	66	0	10	2667.509766
OS	C43H58OS	43	58	0	15	1639.782227
OS	C42H70OS	42	70	0	8	1362.193481
OS	C43H60OS	43	60	0	14	1694.383789
OS	C42H72OS	42	72	0	7	1135.104736
OS	C43H62OS	43	62	0	13	2033.230957
OS	C43H66OS	43	66	0	11	2205.509033
OS	C43H68OS	43	68	0	10	2678.254883
OS	C44H58OS	44	58	0	16	1136.797241
OS	C44H60OS	44	60	0	15	1576.615601
OS	C43H72OS	43	72	0	8	1290.511475
OS	C44H66OS	44	66	0	12	2432.653076
OS	C45H60OS	45	60	0	16	1336.768433
OS	C45H62OS	45	62	0	15	1578.782227
OS	C45H64OS	45	64	0	14	1609.996582
OS	C45H66OS	45	66	0	13	2360.177734
OS	C46H62OS	46	62	0	16	1173.330811
OS	C45H74OS	45	74	0	9	1470.730957
OS	C46H64OS	46	64	0	15	1856.782227
OS	C45H76OS	45	76	0	8	1331.158936
OS	C46H66OS	46	66	0	14	1638.875000
OS	C46H68OS	46	68	0	13	2163.534912
OS	C46H70OS	46	70	0	12	2137.702637
OS	C46H74OS	46	74	0	10	1909.212524
OS	C47H70OS	47	70	0	13	1925.664307
OS	C47H72OS	47	72	0	12	1969.009888
OS	C47H74OS	47	74	0	11	2534.633301
OS	C48H64OS	48	64	0	17	1230.757446
OS	C47H76OS	47	76	0	10	2002.441406
OS	C48H66OS	48	66	0	16	1562.950317
OS	C47H78OS	47	78	0	9	1266.814209
OS	C48H74OS	48	74	0	12	2377.586670
OS	C48H76OS	48	76	0	11	1808.969360
OS	C49H68OS	49	68	0	16	1387.968018
OS	C49H70OS	49	70	0	15	1737.291748
OS	C49H72OS	49	72	0	14	1489.216675
OS	C49H74OS	49	74	0	13	1745.607056
OS	C50H68OS	50	68	0	17	1254.333252
OS	C49H82OS	49	82	0	9	1288.106934
OS	C50H72OS	50	72	0	15	1882.462769
OS	C50H76OS	50	76	0	13	1944.430664
OS	C51H70OS	51	70	0	17	1253.130493
OS	C50H82OS	50	82	0	10	1268.810425
OS	C51H72OS	51	72	0	16	1505.201904
OS	C51H74OS	51	74	0	15	1718.403809
OS	C51H76OS	51	76	0	14	1808.910889
OS	C51H78OS	51	78	0	13	1816.605347
OS	C51H80OS	51	80	0	12	1303.437866
OS	C51H82OS	51	82	0	11	1513.070190
OS	C51H84OS	51	84	0	10	1618.810669
OS	C52H76OS	52	76	0	15	1376.110962
OS	C52H78OS	52	78	0	14	2080.363037
OS	C52H82OS	52	82	0	12	1371.787109
OS	C52H84OS	52	84	0	11	1445.021362
OS	C53H74OS	53	74	0	17	1294.157471
OS	C53H78OS	53	78	0	15	1335.910522
OS	C53H80OS	53	80	0	14	1365.811157
OS	C53H82OS	53	82	0	13	1278.715576
OS	C53H84OS	53	84	0	12	1232.135986
OS	C54H76OS	54	76	0	17	1187.260010
OS	C54H80OS	54	80	0	15	1224.746460
OS	C54H82OS	54	82	0	14	1414.929688
OS	C54H86OS	54	86	0	12	1433.921509
OS	C55H82OS	55	82	0	15	1424.089844
OS	C55H86OS	55	86	0	13	1425.739624
OS	C56H84OS	56	84	0	15	1179.263184
OS	C56H88OS	56	88	0	13	1289.904175
OS	C57H84OS	57	84	0	16	1224.144897
