Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	244,113241	244,1130895	244,113173	0,342119974	C18H15N		761,342468
N	256,113148	256,1130008	256,113172	0,668409573	C19H15N		739,71283
N	258,128877	258,1287467	258,128822	0,291813235	C19H17N		1378,777832
N	270,128853	270,1287184	270,128822	0,383638082	C20H17N		966,632813
N	272,144479	272,1443566	272,144473	0,427691016	C20H19N		1528,056885
N	280,113232	280,1131221	280,113172	0,178306132	C21H15N		2325,78418
N	284,144588	284,1444612	284,144473	0,04161409	C21H19N		1077,174438
N	286,160134	286,1600238	286,160123	0,346588784	C21H21N		2091,630371
N	290,191511	290,1913722	290,191422	0,171477584	C21H25N		635,097229
N	294,128886	294,1287929	294,128822	0,098791022	C22H17N		4599,159668
N	296,144421	296,1442896	296,144473	0,61924187	C22H19N		778,923828
N	298,160173	298,1600592	298,160123	0,213891557	C22H21N		1517,030762
N	300,175856	300,1757543	300,175772	0,058953104	C22H23N		2523,614746
N	302,191459	302,1913254	302,191422	0,319781749	C22H25N		668,790771
N	304,207268	304,2071382	304,207072	-0,21757383	C22H27N		754,377625
N	306,128779	306,1286582	306,128822	0,535219031	C23H17N		1039,645874
N	306,222887	306,2227571	306,222722	-0,114537741	C22H29N		735,016357
N	308,144577	308,1444904	308,144473	-0,056332351	C23H19N		5531,999512
N	310,160149	310,1600308	310,160123	0,297148674	C23H21N		1104,4729
N	312,175847	312,1757438	312,175772	0,090490589	C23H23N		2003,400146
N	314,191457	314,1913612	314,191422	0,19364213	C23H25N		2769,222656
N	316,113234	316,1131276	316,113172	0,140418114	C24H15N		1670,268921
N	316,207071	316,206949	316,207072	0,388995524	C23H27N		894,158875
N	318,128833	318,1287169	318,128822	0,330337724	C24H17N		1102,388184
N	318,222951	318,2228336	318,222722	-0,350819254	C23H29N		1047,9823
N	320,144538	320,1444362	320,144473	0,114869328	C24H19N		1950,071533
N	320,238455	320,2383387	320,238372	0,104068391	C23H31N		1069,582153
N	322,160175	322,1600922	322,160123	0,095578826	C24H21N		5614,501953
N	324,175892	324,1757853	324,175772	-0,041034719	C24H23N		1514,345215
N	326,191373	326,1912818	326,191422	0,429899885	C24H25N		3006,001465
N	328,207117	328,2070295	328,207072	0,12943688	C24H27N		3604,159912
N	330,128906	330,1288178	330,128822	0,012856471	C25H17N		3363,734375
N	330,222829	330,2227149	330,222722	0,021531432	C24H29N		1062,58667
N	332,144478	332,144376	332,144473	0,292138221	C25H19N		1704,949951
N	332,238381	332,2382725	332,238372	0,299491123	C24H31N		1303,38501
N	334,160126	334,1600336	334,160123	0,26746001	C25H21N		2589,098877
N	334,254158	334,2540469	334,254022	-0,074396796	C24H33N		1153,151978
N	336,175916	336,1758362	336,175772	-0,190843019	C25H23N		5474,754883
N	338,19158	338,1914888	338,191422	-0,197617724	C25H25N		2634,397217
N	340,2072	340,2071166	340,207072	-0,131216596	C25H27N		3954,573975
N	342,128733	342,1286098	342,128822	0,620209215	C26H17N		683,888977
N	342,222694	342,2226119	342,222722	0,321811436	C25H29N		4171,867188
N	344,144531	344,1444506	344,144473	0,06499836	C26H19N		4595,211914
N	344,238525	344,2384156	344,238372	-0,126780904	C25H31N		1141,254395
N	346,160271	346,1601771	346,160123	-0,156389758	C26H21N		2153,095947
N	346,254099	346,2540024	346,254022	0,056510395	C25H33N		1906,468262
N	348,175717	348,1756331	348,175772	0,399037078	C26H23N		3484,361572
N	348,269722	348,2696279	348,269672	0,126687444	C25H35N		2090,872559
N	350,191556	350,1914798	350,191422	-0,165143132	C26H25N		6037,592285
N	352,207206	352,2071219	352,207072	-0,141789592	C26H27N		3322,853516
N	354,128806	354,1286886	354,128822	0,376588958	C27H17N		783,66748
N	354,222824	354,2227452	354,222722	-0,065542873	C26H29N		4521,018066
N	356,144454	356,1443476	356,144473	0,352207604	C27H19N		1178,474731
N	356,238392	356,2383158	356,238372	0,157800412	C26H31N		5413,222168
N	358,160257	358,1601797	358,160123	-0,158191033	C27H21N		4799,486328
N	358,254097	358,2540004	358,254022	0,060156137	C26H33N		1744,413574
N	360,17583	360,1757467	360,175772	0,070203796	C27H23N		3229,272461
N	360,269746	360,2696554	360,269672	0,046201572	C26H35N		2236,303467
N	362,191374	362,1912972	362,191422	0,344477979	C27H25N		4785,130859
N	362,28535	362,2852656	362,285323	0,158355725	C26H37N		2996,06665
N	364,207105	364,2070322	364,207072	0,109321156	C27H27N		7075,971191
N	366,222857	366,2227793	366,222722	-0,156328427	C27H29N		4277,373535
N	368,144447	368,1443409	368,144473	0,358768212	C28H19N		1114,660156
N	368,238458	368,2383842	368,238372	-0,03323058	C27H31N		5787,729004
N	370,160152	370,1600609	370,160123	0,167895567	C28H21N		2052,260742
N	370,254158	370,2540856	370,254022	-0,171708176	C27H33N		6595,40332
N	372,175819	372,1757429	372,175772	0,078226929	C28H23N		4543,32666
N	372,269803	372,2697128	372,269672	-0,109687043	C27H35N		2119,800537
N	374,191508	374,1914311	374,191422	-0,024401037	C28H25N		4238,040039
N	374,285452	374,2853669	374,285323	-0,117179174	C27H37N		2657,256836
N	376,20729	376,2072163	376,207072	-0,383519826	C28H27N		5294,141113
N	376,300962	376,3008837	376,300973	0,237442617	C27H39N		3795,2771
N	378,222812	378,2227412	378,222722	-0,050777377	C28H29N		7513,125
N	380,144481	380,144376	380,144473	0,255067105	C29H19N		1101,735718
N	380,238374	380,2383003	380,238372	0,188586669	C28H31N		5103,570801
N	382,160064	382,1599699	382,160123	0,40049918	C29H21N		1703,708862
N	382,25407	382,2539986	382,254022	0,061136974	C28H33N		6332,84082
N	384,175903	384,1758175	384,175772	-0,118412554	C29H23N		2481,119629
N	384,269786	384,2697157	384,269672	-0,113689462	C28H35N		7290,163574
N	386,191441	386,1913678	386,191422	0,140386936	C29H25N		5071,312988
N	386,285408	386,2853239	386,285323	-0,002424212	C28H37N		2637,259277
N	388,207017	388,2069455	388,207072	0,325892681	C29H27N		5848,453613
N	388,301054	388,3009749	388,300973	-0,004955416	C28H39N		3395,571045
N	390,222759	390,222688	390,222722	0,087231312	C29H29N		6053,959961
N	390,316622	390,3165482	390,316622	0,189022974	C28H41N		4720,683594
N	392,238344	392,2382747	392,238372	0,248121267	C29H31N		8098,987305
N	394,160028	394,1599331	394,160123	0,481780261	C30H21N		1576,280273
N	394,254147	394,2540766	394,254022	-0,138451167	C29H33N		6300,753418
