Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	272,144592	272,1442481	272,144473	0,826232342	C20H19N		3199,586182
N	280,113351	280,1130393	280,113172	0,473608661	C21H15N		5020,618164
N	286,160258	286,1599249	286,160123	0,692117083	C21H21N		4196,40625
N	294,129017	294,1287465	294,128822	0,256523294	C22H17N		9380,366211
N	300,175992	300,1756501	300,175772	0,406193853	C22H23N		4409,772949
N	308,144577	308,1442994	308,144473	0,563341242	C23H19N		10077,83691
N	312,175994	312,1756099	312,175772	0,519339102	C23H23N		3109,506592
N	314,191606	314,1912662	314,191422	0,495946859	C23H25N		5262,143555
N	322,160332	322,1600474	322,160123	0,234614495	C24H21N		10867,40918
N	326,191696	326,1913312	326,191422	0,278426386	C24H25N		4515,308105
N	328,20728	328,2069277	328,207072	0,439641787	C24H27N		5326,752441
N	330,129071	330,1286733	330,128822	0,450414677	C25H17N		3245,425049
N	334,160295	334,1599109	334,160123	0,634659119	C25H21N		3961,123291
N	336,175916	336,1756086	336,175772	0,486033593	C25H23N		9766,333984
N	340,2072	340,2068232	340,207072	0,731432624	C25H27N		4601,215332
N	342,222871	342,222517	342,222722	0,599051708	C25H29N		6109,355469
N	344,14471	344,1443424	344,144473	0,379359534	C26H19N		5346,473145
N	346,160271	346,1598586	346,160123	0,763865887	C26H21N		3281,553955
N	348,1759	348,1755299	348,175772	0,695219294	C26H23N		5437,045898
N	350,191556	350,1912393	350,191422	0,521809917	C26H25N		10283,79492
N	352,207206	352,2068012	352,207072	0,76875745	C26H27N		3831,029541
N	354,222824	354,2224488	354,222722	0,771286295	C26H29N		5489,270508
N	356,238584	356,2382187	356,238372	0,430203468	C26H31N		6294,466309
N	358,160257	358,1598949	358,160123	0,636873462	C27H21N		6671,021973
N	360,176027	360,1756382	360,175772	0,371362064	C27H23N		5031,116211
N	362,191572	362,1912207	362,191422	0,555689961	C27H25N		7914,702148
N	364,207306	364,2069725	364,207072	0,273326229	C27H27N		9945,617188
N	366,222857	366,2224512	366,222722	0,739498155	C27H29N		4436,811523
N	368,238458	368,2380862	368,238372	0,776079778	C27H31N		6700,996582
N	370,254158	370,2537998	370,254022	0,600135716	C27H33N		8019,37207
N	372,176029	372,1756465	372,175772	0,337239265	C28H23N		6199,919434
N	374,19172	374,1913493	374,191422	0,194269473	C28H25N		7268,742188
N	376,20729	376,20693	376,207072	0,377323354	C28H27N		8422,394531
N	378,223029	378,2226866	378,222722	0,093562075	C28H29N		10572,32617
N	380,238592	380,2381924	380,238372	0,472451622	C28H31N		5593,234863
N	382,254291	382,2539071	382,254022	0,300621112	C28H33N		6857,257813
N	384,175903	384,1754627	384,175772	0,805052122	C29H23N		3683,705811
N	384,269786	384,2694229	384,269672	0,648352648	C28H35N		8921,12793
N	386,191667	386,1912814	386,191422	0,363970154	C29H25N		7045,098145
N	388,207245	388,2068827	388,207072	0,487728838	C29H27N		9432,275391
N	390,22299	390,2226232	390,222722	0,253133423	C29H29N		9175,271484
N	392,238577	392,2382294	392,238372	0,363438103	C29H31N		11754,32227
N	394,254147	394,2537591	394,254022	0,66691954	C29H33N		7536,129395
N	396,269851	396,2694635	396,269672	0,526114256	C29H35N		7757,973145
N	398,191723	398,1912937	398,191422	0,322316168	C30H25N		4910,688965
N	398,285616	398,2852537	398,285323	0,173959975	C29H37N		10639,67188
N	400,20725	400,2068613	400,207072	0,526458754	C30H27N		8015,717285
N	402,222952	402,2225891	402,222722	0,330458647	C30H29N		11072,0752
N	404,238524	404,2381581	404,238372	0,529160599	C30H31N		10954,99805
N	406,254155	406,2538021	406,254022	0,541232941	C30H33N		13074,5918
N	408,269796	408,26939	408,269672	0,690782923	C30H35N		7224,849121
N	410,191626	410,1911771	410,191422	0,596950152	C31H25N		4526,643066
N	410,285656	410,2852717	410,285323	0,124919261	C30H37N		9517,635742
N	412,20726	412,2068376	412,207072	0,568663545	C31H27N		6272,929199
N	412,301187	412,3008272	412,300973	0,353719557	C30H39N		12967,71191
N	414,223055	414,2226626	414,222722	0,143519961	C31H29N		9074,834961
N	416,238462	416,2380815	416,238372	0,697972549	C31H31N		10680,17285
N	418,25424	418,2538641	418,254022	0,377481851	C31H33N		11554,03418
N	418,348029	418,3475492	418,347922	0,891044627	C30H45N		3507,609863
N	420,269845	420,2694902	420,269672	0,432530087	C31H35N		15180,23633
N	422,191587	422,1910989	422,191422	0,765263825	C32H25N		3340,240234
N	422,28553	422,2851251	422,285323	0,468526193	C31H37N		8664,699219
N	424,207264	424,2068048	424,207072	0,629787179	C32H27N		4754,390625
N	424,301288	424,3008943	424,300973	0,185371346	C31H39N		10110,43945
N	426,223023	426,2225834	426,222722	0,325139356	C32H29N		6092,233398
N	426,316843	426,3164779	426,316622	0,337915841	C31H41N		14487,15723
N	428,238594	428,2382021	428,238372	0,396736655	C32H31N		10827,46289
N	430,254256	430,2538639	430,254022	0,367373339	C32H33N		11076,92481
N	432,270026	432,2696342	432,269672	0,08740309	C32H35N		11392,28418
N	432,363696	432,3632099	432,363572	0,837574412	C31H47N		3855,456787
N	434,285639	434,2852686	434,285323	0,125228584	C32H37N		15020,82617
N	436,207169	436,2066869	436,207072	0,882836212	C33H27N		4227,276367
N	436,301112	436,3007016	436,300973	0,621965419	C32H39N		9641,930664
N	438,222821	438,2223549	438,222722	0,837768387	C33H29N		5196,37793
N	438,316762	438,3163565	438,316622	0,605699292	C32H41N		10460,22949
N	440,238699	440,2382507	440,238372	0,275446816	C33H31N		6533,63623
N	440,332625	440,332247	440,332272	0,056709286	C32H43N		14810,83691
N	442,254254	442,2538513	442,254022	0,386023792	C33H33N		11342,04199
N	444,269821	444,2694136	444,269672	0,581543661	C33H35N		11015,85156
N	444,363682	444,3631702	444,363572	0,904293987	C32H47N		3326,411865
N	446,285446	446,2850382	446,285323	0,638123529	C33H37N		11239,41895
N	446,379557	446,3790665	446,379222	0,348344998	C32H49N		4344,246582
N	448,301186	448,3008047	448,300973	0,375478718	C33H39N		15736,42188
N	450,222857	450,2223541	450,222722	0,817210089	C34H29N		3951,175049
N	450,316793	450,3163611	450,316622	0,579262012	C33H41N		8932,245117
N	452,238478	452,2380021	452,238372	0,81787471	C34H31N		5512,519531
N	452,332638	452,3322272	452,332272	0,099036035	C33H43N		11700,5957
N	454,254418	454,2539631	454,254022	0,129616653	C34H33N		7188,972168
N	454,34817	454,3477739	454,347922	0,325872596	C33H45N		14269,25781
N	456,269813	456,2693903	456,269672	0,617359507	C34H35N		10698,88965
N	458,28568	458,2852603	458,285323	0,136715153	C34H37N		11366,89551
N	458,379513	458,3789912	458,379222	0,503463285	C33H49N		3522,223877
N	460,301152	460,3007341	460,300973	0,519035154	C34H39N		11898,41211
N	460,39517	460,3946776	460,394872	0,422256448	C33H51N		5043,63916
N	462,316953	462,3165485	462,316622	0,159066055	C34H41N		14283,07617
N	464,23853	464,2380361	464,238372	0,723510177	C35H31N		5199,477539
