Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	206,097585	206,0974108	206,097523	0,544203689	C15H13N		913,042725
N	220,113261	220,1130951	220,113173	0,35398203	C16H15N		1039,154785
N	230,097575	230,0974143	230,097523	0,472562909	C17H13N		1095,179321
N	232,113311	232,1131464	232,113173	0,11475964	C17H15N		596,645935
N	234,128897	234,1287355	234,128823	0,373611327	C17H17N		789,144653
N	242,097589	242,0974334	242,097523	0,370017793	C18H13N		1071,891846
N	244,113241	244,1130933	244,113173	0,326335912	C18H15N		2874,754639
N	246,128887	246,1287293	246,128823	0,380584028	C18H17N		665,358704
N	248,144528	248,1443709	248,144473	0,411452189	C18H19N		645,024353
N	254,097662	254,0975061	254,097523	0,066389011	C19H13N		561,340881
N	256,113247	256,1131045	256,113172	0,263680329	C19H15N		3033,921387
N	258,128877	258,1287368	258,128822	0,330250266	C19H17N		3929,849121
N	260,14451	260,1443574	260,144472	0,440709442	C19H19N		630,188843
N	262,160231	262,1600799	262,160122	0,160497553	C19H21N		699,074402
N	266,097599	266,0974554	266,097522	0,250239498	C20H13N		1532,120239
N	268,113256	268,1131141	268,113172	0,216111421	C20H15N		1744,329956
N	270,128853	270,1287155	270,128822	0,394346515	C20H17N		3026,487793
N	272,144592	272,1444563	272,144473	0,061243222	C20H19N		3690,102051
N	274,160249	274,1601017	274,160123	0,077831573	C20H21N		667,48822
N	276,175841	276,1756967	276,175772	0,272760742	C20H23N		897,387085
N	278,191406	278,1912588	278,191422	0,586496695	C20H25N		582,808289
N	280,113232	280,1131013	280,113172	0,252517173	C21H15N		6043,266113
N	282,12891	282,1287747	282,128822	0,167598404	C21H17N		2376,875732
N	284,144588	284,144455	284,144473	0,063371348	C21H19N		3082,202637
N	286,160258	286,160126	286,160123	-0,010483603	C21H21N		3303,996094
N	288,175931	288,1757894	288,175772	-0,060497269	C21H23N		809,475464
N	290,191511	290,1913724	290,191422	0,170861306	C21H25N		1102,765259
N	292,113207	292,1130704	292,113172	0,347709669	C22H15N		1340,766235
N	292,207167	292,2070278	292,207072	0,151383947	C21H27N		945,698975
N	294,128886	294,1287605	294,128822	0,209042663	C22H17N		10881,48242
N	296,144554	296,1444226	296,144473	0,170226044	C22H19N		2376,151855
N	298,160173	298,1600436	298,160123	0,266410823	C22H21N		2978,86792
N	300,175856	300,1757274	300,175772	0,148736276	C22H23N		3122,440674
N	302,191459	302,1913245	302,191422	0,322522066	C22H25N		1267,619263
N	304,113275	304,113143	304,113172	0,095346259	C23H15N		1662,401123
N	304,207128	304,2069955	304,207072	0,251416725	C22H27N		1551,14856
N	306,128921	306,1287942	306,128822	0,09082322	C23H17N		3368,767578
N	306,222745	306,2226114	306,222722	0,361196619	C22H29N		1256,590698
N	308,144577	308,1444549	308,144473	0,058898408	C23H19N		11569,74805
N	310,160149	310,1600205	310,160123	0,330339167	C23H21N		2272,298828
N	312,175847	312,1757221	312,175772	0,159752843	C23H23N		3761,991455
N	314,191606	314,1914812	314,191422	-0,188314215	C23H25N		3529,388672
N	316,113234	316,1131086	316,113172	0,200640501	C24H15N		3008,526855
N	316,207222	316,2070912	316,207072	-0,060775803	C23H27N		1389,152832
N	318,128986	318,1288612	318,128822	-0,123137873	C24H17N		3116,700439
N	318,222798	318,2226701	318,222722	0,162978923	C23H29N		1967,755981
N	320,144538	320,1444158	320,144473	0,178791085	C24H19N		4629,848633
N	320,238455	320,2383269	320,238372	0,140960654	C23H31N		1797,719849
N	322,160175	322,1600552	322,160123	0,210412617	C24H21N		8087,527832
N	324,175892	324,1757686	324,175772	0,010628535	C24H23N		3283,881104
N	326,191535	326,1914136	326,191422	0,025694745	C24H25N		4479,629395
N	328,207117	328,2069957	328,207072	0,232447441	C24H27N		4288,878906
N	330,128906	330,1287869	330,128822	0,106216959	C25H17N		6666,125488
N	330,222829	330,2227026	330,222722	0,058616558	C24H29N		1837,963989
N	332,144645	332,1445238	332,144473	-0,152971638	C25H19N		3923,459961
N	332,238549	332,2384242	332,238372	-0,156992377	C24H31N		2188,248291
N	334,160295	334,1601756	334,160123	-0,157387272	C25H21N		5294,129395
N	334,254158	334,2540336	334,254022	-0,034604847	C24H33N		2230,26001
N	336,175916	336,1757976	336,175772	-0,076276681	C25H23N		6429,560059
N	338,19158	338,1914598	338,191422	-0,111725149	C25H25N		4054,724365
N	340,2072	340,2070818	340,207072	-0,028694865	C25H27N		5832,611328
N	342,128911	342,1287838	342,128822	0,11152243	C26H17N		1339,815552
N	342,222871	342,2227526	342,222722	-0,089533822	C25H29N		5371,291016
N	344,144531	344,1444145	344,144473	0,169919186	C26H19N		9466,741211
N	344,238525	344,2384016	344,238372	-0,085908964	C25H31N		2173,00708
N	346,160271	346,1601514	346,160123	-0,082061266	C26H21N		3874,245117
N	346,254099	346,2539773	346,254022	0,128984058	C25H33N		2746,339844
N	348,1759	348,1757827	348,175772	-0,03084525	C26H23N		6066,563965
N	348,269906	348,2697854	348,269672	-0,32568884	C25H35N		3169,101807
N	350,191556	350,1914391	350,191422	-0,04891388	C26H25N		6424,189453
N	352,207206	352,2070887	352,207072	-0,04745651	C26H27N		5546,71875
N	354,128996	354,1288709	354,128822	-0,137967158	C27H17N		1516,145386
N	354,222824	354,2227074	354,222722	0,04120606	C26H29N		6354,645508
N	356,144646	356,1445243	356,144473	-0,144029587	C27H19N		2415,348145
N	356,238584	356,2384674	356,238372	-0,267910502	C26H31N		6182,728516
N	358,160257	358,1601415	358,160123	-0,051660356	C27H21N		8559,962891
N	358,254097	358,2539759	358,254022	0,128809477	C26H33N		2575,647217
N	360,17583	360,1757122	360,175772	0,166134753	C27H23N		4419,876465
N	360,269746	360,2696268	360,269672	0,12539728	C26H35N		3466,601563
N	362,191572	362,1914558	362,191422	-0,093265944	C27H25N		6195,552246
N	362,28535	362,2852322	362,285323	0,250527115	C26H37N		4395,124512
N	364,207105	364,2069894	364,207072	0,22686943	C27H27N		7192,458496
N	364,301126	364,3009923	364,300973	-0,052857186	C26H39N		474,174286
N	366,128856	366,1287265	366,128822	0,260965827	C28H17N		789,206543
N	366,222857	366,2227411	366,222722	-0,052021647	C27H29N		6382,419922
N	368,144652	368,1445312	368,144473	-0,15820141	C28H19N		2559,840088
N	368,238458	368,2383425	368,238372	0,080185449	C27H31N		7107,268555
N	370,160152	370,1600334	370,160123	0,242092177	C28H21N		3586,529053
N	370,254158	370,2540428	370,254022	-0,056287427	C27H33N		7993,262207
N	372,175819	372,1757035	372,175772	0,184017304	C28H23N		7009,254883
N	372,269803	372,2696833	372,269672	-0,030368363	C27H35N		2979,405518
N	374,191508	374,1913914	374,191422	0,081670353	C28H25N		5267,349609
N	374,285452	374,2853342	374,285323	-0,030045945	C27H37N		4136,751953
N	376,207075	376,2069596	376,207072	0,298875798	C28H27N		7037,724121
N	376,301177	376,3010606	376,300973	-0,232858026	C27H39N		5479,289063
N	378,222812	378,2226969	378,222722	0,066354361	C28H29N		7975,510254
N	380,144481	380,1443597	380,144473	0,297919994	C29H19N		2340,181396
N	380,238592	380,2384764	380,238372	-0,274611386	C28H31N		6765,588379
N	380,332312	380,3321785	380,332272	0,245895515	C27H43N		473,509705
N	382,160285	382,1601657	382,160123	-0,111612994	C29H21N		3156,123047
N	382,25407	382,2539549	382,254022	0,175446827	C28H33N		8236,245117
N	384,175903	384,1757855	384,175772	-0,035240509	C29H23N		4433,563477
N	384,269786	384,2696712	384,269672	0,002207124	C28H35N		9626,862305
N	386,191441	386,191325	386,191422	0,251097285	C29H25N		6262,545898
N	386,285408	386,2852896	386,285323	0,086358519	C28H37N		3792,198975
N	388,207245	388,2071293	388,207072	-0,147726241	C29H27N		7007,098145
N	388,301054	388,3009371	388,300973	0,092572143	C28H39N		5048,100098
N	390,222759	390,2226434	390,222722	0,201375923	C29H29N		7362,065918
N	390,316853	390,3167375	390,316622	-0,295909772	C28H41N		7588,612793
N	392,144719	392,1445864	392,144473	-0,289156802	C30H19N		552,199768
N	392,238577	392,2384619	392,238372	-0,229131356	C29H31N		9680,842773
N	392,33248	392,3323474	392,332272	-0,192164525	C28H43N		552,886963
N	394,160263	394,1601438	394,160123	-0,05274985	C30H21N		3465,164795
N	394,254147	394,2540314	394,254022	-0,023838322	C29H33N		7858,562988
N	394,348075	394,347945	394,347922	-0,058313251	C28H45N		773,098816
N	396,175956	396,1758369	396,175772	-0,163885122	C30H23N		3617,638916
N	396,269851	396,2697356	396,269672	-0,160608324	C29H35N		9590,408203
N	396,363791	396,3636587	396,363572	-0,218803538	C28H47N		591,839844
N	398,191483	398,1913655	398,191422	0,141905681	C30H25N		4992,17041
N	398,285375	398,2852596	398,285323	0,159251251	C29H37N		11858,03418
N	400,20725	400,2071337	400,207072	-0,154124433	C30H27N		6974,957031
N	400,301125	400,3010069	400,300973	-0,084583124	C29H39N		4518,324707
N	402,222952	402,2228359	402,222722	-0,283259265	C30H29N		8090,491211
N	402,316795	402,3166781	402,316622	-0,139556367	C29H41N		6256,289551
N	404,144524	404,1443948	404,144473	0,19343068	C31H19N		936,372314
N	404,238524	404,2384079	404,238372	-0,088809436	C30H31N		8626,802734
N	404,33232	404,3322041	404,332272	0,167871472	C29H43N		10576,59082
N	406,160215	406,1600883	406,160123	0,085361001	C31H21N		1325,73877
N	406,254155	406,254039	406,254022	-0,041739705	C30H33N		11335,16797
N	406,347889	406,3477578	406,347922	0,404164373	C29H45N		740,659485
N	408,175931	408,1758109	408,175772	-0,095190536	C31H23N		3543,836914
N	408,269796	408,2696796	408,269672	-0,018561504	C30H35N		8872,703125
N	408,363705	408,3635751	408,363572	-0,007501176	C29H47N		892,999329
N	410,191626	410,1915064	410,191422	-0,205821427	C31H25N		4067,869141
N	410,285402	410,2852855	410,285323	0,091300373	C30H37N		10265,29883
