Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	410,379475	410,3793446	410,379222	-0,2988463	C29H49N		868,798279
N	412,20726	412,2071419	412,207072	-0,169491348	C31H27N		5742,072754
N	412,301187	412,30107	412,300973	-0,235225723	C30H39N		14545,16309
N	414,222795	414,2226775	414,222722	0,107347914	C31H29N		7429,119629
N	414,316864	414,3167449	414,316622	-0,29673306	C30H41N		4924,161621
N	416,238462	416,2383447	416,238372	0,065490314	C31H31N		9148,841797
N	416,332399	416,3322812	416,332272	-0,022205498	C30H43N		7339,200195
N	418,160229	418,1601018	418,160123	0,050780988	C32H21N		1468,323486
N	418,25424	418,2541225	418,254022	-0,240331889	C31H33N		9385,960938
N	418,348029	418,3479114	418,347922	0,025387652	C30H45N		13815,39356
N	420,175728	420,1756024	420,175772	0,403699384	C32H23N		1900,185303
N	420,269845	420,2697273	420,269672	-0,131467511	C31H35N		12853,69238
N	420,363738	420,3636057	420,363572	-0,080134836	C30H47N		790,846924
N	422,191587	422,1914652	422,191422	-0,10232598	C32H25N		3564,680664
N	422,28553	422,285412	422,285323	-0,210863072	C31H37N		10110,18945
N	422,379245	422,3791147	422,379222	0,254005433	C30H49N		1060,511963
N	424,207264	424,2071431	424,207072	-0,167505842	C32H27N		4393,154785
N	424,301015	424,3008968	424,300973	0,179684008	C31H39N		11841,71875
N	424,395081	424,3949503	424,394872	-0,18453509	C30H51N		1046,558838
N	426,222748	426,222628	426,222722	0,220532398	C32H29N		5747,481445
N	426,316843	426,3167236	426,316622	-0,238434132	C31H41N		16604,1543
N	428,238594	428,2384748	428,238372	-0,240104595	C32H31N		8179,84375
N	428,332469	428,3323487	428,332272	-0,178954476	C31H43N		5722,770996
N	430,160377	430,1602406	430,160123	-0,27334276	C33H21N		571,810181
N	430,254256	430,2541367	430,254022	-0,266701131	C32H33N		9516,06543
N	430,348176	430,3480565	430,347922	-0,31263463	C31H45N		8444,288086
N	432,175831	432,1757025	432,175772	0,160793968	C33H23N		1652,504883
N	432,269743	432,2696235	432,269672	0,112232877	C32H35N		11536,09375
N	432,363696	432,3635759	432,363572	-0,009050461	C31H47N		15528,36035
N	434,191419	434,1912932	434,191422	0,296539411	C33H25N		2575,990967
N	434,285353	434,2852329	434,285323	0,207520027	C32H37N		13968,66895
N	434,379327	434,379194	434,379222	0,064531527	C31H49N		957,019043
N	436,207169	436,207045	436,207072	0,061796545	C33H27N		3657,637451
N	436,301112	436,3009918	436,300973	-0,042987912	C32H39N		10498,55469
N	436,395096	436,3949652	436,394872	-0,213516017	C31H51N		1337,707153
N	438,222821	438,222698	438,222722	0,054731367	C33H29N		4711,746582
N	438,316762	438,3166411	438,316622	-0,043658167	C32H41N		13891,99512
N	438,410743	438,4106107	438,410522	-0,20223325	C31H53N		1152,962158
N	440,238405	440,238283	440,238372	0,202275548	C33H31N		6426,429199
N	440,332332	440,332209	440,332272	0,142986471	C32H43N		20217,82617
N	442,254254	442,2541324	442,254022	-0,249518696	C33H33N		8592,672852
N	442,348154	442,3480313	442,347922	-0,247119121	C32H45N		6073,247559
N	444,176		444,1758638	444,175772	-0,206594041	C34H23N		813,641846
N	444,269821	444,2696991	444,269672	-0,060914666	C33H35N		9328,335938
N	444,363682	444,3635601	444,363572	0,026717453	C32H47N		10147,16895
N	446,191375	446,1912438	446,191422	0,399346348	C34H25N		1664,522217
N	446,285446	446,2853237	446,285323	-0,001643677	C33H37N		10518,12598
N	446,379256	446,3791331	446,379222	0,199117016	C32H49N		15703,28027
N	448,207175	448,2070468	448,207072	0,056255017	C34H27N		2729,047607
N	448,301186	448,301063	448,300973	-0,200728753	C33H39N		14265,66016
N	448,394931	448,3947956	448,394872	0,170469231	C32H51N		1012,067688
N	450,222857	450,2227302	450,222722	-0,018185747	C34H29N		3701,474609
N	450,316793	450,3166698	450,316622	-0,106228613	C33H41N		10871,26758
N	450,410769	450,4106347	450,410522	-0,250249494	C32H53N		1247,45813
N	452,238478	452,2383526	452,238372	0,042885941	C34H31N		5361,153809
N	452,332328	452,332204	452,332272	0,150272955	C33H43N		14426,59961
N	452,426218	452,4260828	452,426173	0,199425148	C32H55N		1173,450562
N	454,254106	454,2539807	454,254022	0,090843902	C34H33N		6228,776855
N	454,34817	454,3480437	454,347922	-0,267927159	C33H45N		20773,62305
N	456,269813	456,2696882	456,269672	-0,035584034	C34H35N		8976,860352
N	456,363768	456,3636427	456,363572	-0,154846544	C33H47N		7116,420898
N	458,191568	458,1914311	458,191422	-0,019821061	C35H25N		1132,889404
N	458,285362	458,2852368	458,285323	0,188056702	C34H37N		9591,53418
N	458,379194	458,3790689	458,379222	0,334062829	C33H49N		11045,74316
N	460,207173	460,2070383	460,207072	0,073313962	C35H27N		1621,890869
N	460,301152	460,3010264	460,300973	-0,115946523	C34H39N		10713,28516
N	460,39517	460,3950434	460,394872	-0,372316824	C33H51N		17014,96094
N	462,222796	462,2226636	462,222722	0,12639044	C35H29N		2434,066406
N	462,316629	462,3165024	462,316622	0,258774933	C34H41N		15116,11035
N	462,410501	462,410363	462,410522	0,343765026	C33H53N		1142,471069
N	464,23853	464,2384	464,238372	-0,060418432	C35H31N		3978,321289
N	464,332531	464,3324043	464,332272	-0,284888688	C34H43N		10582,9375
N	464,426243	464,4261063	464,426173	0,143571677	C33H55N		1454,564331
N	466,254147	466,2540178	466,254022	0,009002362	C35H33N		5161,118164
N	466,347978	466,3478503	466,347922	0,153649384	C34H45N		14664,46582
N	466,441847	466,4417093	466,441823	0,243664068	C33H57N		1376,101196
N	468,269745	468,269616	468,269672	0,11962875	C35H35N		6176,844727
N	468,363725	468,3635948	468,363572	-0,04870095	C34H47N		21306,84375
N	470,191683	470,1915392	470,191422	-0,249171751	C36H25N		714,98877
N	470,285431	470,2853024	470,285323	0,043891948	C35H37N		8632,344727
N	470,379217	470,3790877	470,379222	0,285474863	C34H49N		6821,490234
N	472,207103	472,2069633	472,207072	0,230251222	C36H27N		1306,02832
N	472,300982	472,3008529	472,300973	0,254357935	C35H39N		9212,734375
N	472,394897	472,394768	472,394872	0,220219941	C34H51N		11141,59863
N	474,22285	474,2227118	474,222722	0,021409841	C36H29N		1754,13147
N	474,31685	474,3167204	474,316622	-0,207422636	C35H41N		10782,06055
N	474,410547	474,4104164	474,410522	0,222696111	C34H53N		17268,60938
N	476,238364	476,2382282	476,238372	0,30197162	C36H31N		2699,64917
N	476,332478	476,3323474	476,332272	-0,158270055	C35H43N		14608,67481
N	476,426286	476,4261451	476,426173	0,058576229	C34H55N		1325,606445
N	478,254114	478,2539801	478,254022	0,087564238	C36H33N		4154,473633
N	478,347987	478,3478561	478,347922	0,137714971	C35H45N		11144,56445
N	478,441897	478,4417574	478,441823	0,13712453	C34H57N		1722,218872
N	480,269886	480,2697523	480,269672	-0,167137672	C36H35N		4860,787598
N	480,363853	480,3637213	480,363572	-0,310719003	C35H47N		13698,63574
N	480,457508	480,4573657	480,457472	0,22131301	C34H59N		1301,989136
N	482,285465	482,2853318	482,285323	-0,018333584	C36H37N		6525,089844
N	482,379518	482,3793841	482,379222	-0,336109877	C35H49N		19438,72852
N	484,207246	484,2070987	484,207072	-0,055228811	C37H27N		811,065735
N	484,300985	484,3008518	484,300973	0,250203168	C36H39N		8203,858398
N	484,395115	484,3949814	484,394872	-0,225768718	C35H51N		6982,875488
N	486,222786	486,2226415	486,222722	0,165582063	C37H29N		1260,308472
N	486,316591	486,3164573	486,316622	0,338672145	C36H41N		8910,482422
N	486,41079	486,4106564	486,410522	-0,276408511	C35H53N		10959,63184
N	488,238572	488,2384295	488,238372	-0,117763175	C37H31N		1816,535767
N	488,332434	488,3322998	488,332272	-0,056881587	C36H43N		11323,14258
N	488,426332	488,4261967	488,426173	-0,048564744	C35H55N		17339,33008
N	490,254036	490,253896	490,254022	0,257024877	C37H33N		2916,191895
N	490,347947	490,3478118	490,347922	0,224728574	C36H45N		13985,41699
N	490,441893	490,441745	490,441823	0,159106272	C35H57N		967,441956
N	492,269697	492,2695576	492,269672	0,232353956	C37H35N		3647,483643
N	492,363648	492,3635123	492,363572	0,12117249	C36H47N		10819,25781
N	492,457634	492,4574908	492,457472	-0,038277352	C35H59N		2050,99707
N	494,285354	494,2852156	494,285323	0,217369718	C37H37N		5022,349121
N	494,379335	494,3791983	494,379222	0,047839354	C36H49N		13927,6377
N	494,473352	494,4732052	494,473122	-0,168347069	C35H61N		1382,368042
N	496,301174	496,3010353	496,300973	-0,125573916	C37H39N		5641,445801
N	496,395178	496,3950397	496,394872	-0,337774866	C36H51N		17867,58398
N	498,222979	498,2228259	498,222722	-0,208442627	C38H29N		729,317749
N	498,316584	498,3164455	498,316622	0,354222649	C37H41N		7310,483398
N	498,4106	498,4104613	498,410522	0,121755264	C36H53N		6995,226563
N	500,238524	500,2383752	500,238372	-0,006353345	C38H31N		1404,804688
N	500,332509	500,3323701	500,332272	-0,1960815	C37H43N		8629,755859
N	500,426149	500,4260103	500,426173	0,325152704	C36H55N		10238,02344
N	502,254018	502,2538716	502,254022	0,299481859	C38H33N		2187,833008
N	502,347997	502,3478576	502,347922	0,12829022	C37H45N		10811,23828
N	502,442012	502,441872	502,441823	-0,097562799	C36H57N		15229,60352
N	504,269647	504,2695014	504,269672	0,338372474	C38H35N		2775,960938
N	504,363612	504,3634716	504,363572	0,199013435	C37H47N		13049,86328
N	504,457612	504,4574596	504,457472	0,024580711	C36H59N		1093,02063
N	506,285606	506,2854609	506,285323	-0,272408272	C38H37N		3461,671631
N	506,379159	506,3790179	506,379222	0,403029971	C37H49N		10224,41992
N	506,473135	506,4729834	506,473122	0,273650248	C36H61N		1351,043335
N	508,300926	508,3007815	508,300973	0,376770385	C38H39N		4459,32373
N	508,394834	508,3946919	508,394872	0,354226195	C37H51N		13566,8125
N	508,488777	508,4886246	508,488772	0,289859927	C36H63N		1357,228516
N	510,316581	510,3164367	510,316622	0,363045525	C38H41N		5622,174316
N	510,410446	510,410302	510,410522	0,431121409	C37H53N		18322,71484
N	512,238609	512,2384515	512,238372	-0,15526348	C39H31N		863,111084
N	512,332388	512,3322439	512,332273	0,056874933	C38H43N		7417,568848
N	512,426201	512,4260567	512,426173	0,227025112	C37H55N		7039,930176
N	514,254042	514,2538874	514,254023	0,263615595	C39H33N		1406,018066
N	514,348159	514,3480141	514,347922	-0,179131234	C38H45N		7819,654297
N	514,441911	514,4417665	514,441823	0,109762733	C37H57N		10361,00000
N	516,269657	516,2695035	516,269672	0,326432314	C39H35N		1825,652588
N	516,363706	516,3635606	516,363573	0,024024198	C38H47N		9306,331055
N	516,45779	516,4576445	516,457472	-0,334011012	C37H59N		13362,81641
N	518,285272	518,28512	518,285323	0,391749379	C39H37N		2578,860352
N	518,379243	518,3790968	518,379222	0,241618134	C38H49N		12510,10645
N	518,473249	518,4730918	518,473123	0,060223821	C37H61N		1263,476318
N	520,30111	520,300959	520,300973	0,026930764	C39H39N		3514,219727
N	520,394994	520,3948469	520,394873	0,050125082	C38H51N		10804,55469
N	520,488912	520,4887546	520,488772	0,033492794	C37H63N		1385,447876
N	522,31658	522,3164291	522,316622	0,369377243	C39H41N		4199,504883
N	522,41078	522,4106318	522,410522	-0,210172544	C38H53N		13612,6084
N	522,5046	522,50444	522,504423	-0,032587306	C37H65N		1119,539063
N	524,332323	524,3321723	524,332273	0,192000628	C39H43N		5356,241699
N	524,426418	524,4262682	524,426173	-0,181521888	C38H55N		16790,30078
N	526,254215	526,2540517	526,254023	-0,054517556	C40H33N		912,316895
N	526,348162	526,3480115	526,347922	-0,170049157	C39H45N		7234,049805
N	526,442144	526,4419931	526,441822	-0,32509265	C38H57N		6553,913086
N	528,269676	528,2695147	528,269672	0,297788492	C40H35N		1336,968018
N	528,363922	528,3637708	528,363573	-0,374368886	C39H47N		7948,021484
N	528,457778	528,4576271	528,457472	-0,293581429	C38H59N		10168,78027
N	530,285305	530,2851448	530,285323	0,335961239	C40H37N		1782,78186
N	530,37942	530,3792681	530,379222	-0,08696148	C39H49N		9235,289063
N	530,473142	530,4729901	530,473122	0,248724502	C38H61N		13199,39746
N	532,30093	532,300771	532,300972	0,377619468	C40H39N		2419,831543
N	532,394903	532,3947502	532,394873	0,230576033	C39H51N		11945,03613
N	532,488909	532,4887453	532,488772	0,050090499	C38H63N		1281,328613
N	534,316805	534,3166471	534,316622	-0,046910043	C40H41N		3347,479736
N	534,410627	534,4104732	534,410522	0,091320149	C39H53N		9594,415039
N	534,504481	534,5043185	534,504422	0,193681934	C38H65N		1709,477295
N	536,332327	536,3321691	536,332272	0,191848716	C40H43N		4017,818604
N	536,426422	536,4262672	536,426173	-0,175695126	C39H55N		11879,85742
N	536,520114	536,5199474	536,520072	0,232271098	C38H67N		1132,314453
N	538,254298	538,2541262	538,254023	-0,191809646	C41H33N		660,319641
N	538,348191	538,3480335	538,347922	-0,207138166	C40H45N		5353,780762
N	538,442117	538,4419606	538,441822	-0,257468492	C39H57N		15775,93848
N	540,269637	540,2694676	540,269672	0,378410044	C41H35N		1005,74408
N	540,363792	540,3636345	540,363573	-0,113732246	C40H47N		6899,930176
N	540,457538	540,45738	540,457472	0,17016556	C39H59N		6196,525879
N	542,285429	542,2852605	542,285323	0,11521296	C41H37N		1305,759033
N	542,379398	542,3792395	542,379222	-0,032267892	C40H49N		7096,418457
N	542,473399	542,473241	542,473122	-0,219406281	C39H61N		9062,328125
N	544,301068	544,3009007	544,300972	0,131069463	C41H39N		1755,829712
N	544,394839	544,3946798	544,394873	0,354849148	C40H51N		8179,796875
N	544,489091	544,4889321	544,488772	-0,294049584	C39H63N		11673,95215
N	546,316832	546,3166656	546,316622	-0,079828142	C41H41N		2343,355225
N	546,410847	546,4106871	546,410522	-0,302126949	C40H53N		10376,0166
N	546,504442	546,5042706	546,504422	0,277042797	C39H65N		1190,714355
N	548,332559	548,3323931	548,332272	-0,22079451	C41H43N		2965,981689
N	548,426358	548,4261969	548,426173	-0,043569213	C40H55N		9255,966797
N	548,520189	548,5200182	548,520072	0,098001997	C39H67N		1497,87854
N	550,348081	550,3479156	550,347922	0,011563701	C41H45N		3926,411621
N	550,442112	550,4419499	550,441822	-0,232401501	C40H57N		10858,78125
N	550,535717	550,5355417	550,535723	0,329260558	C39H69N		957,922485
N	552,269464	552,2692843	552,269672	0,701938471	C42H35N		622,716187
N	552,363691	552,3635256	552,363573	0,085858615	C41H47N		4800,701172
N	552,457488	552,4573246	552,457472	0,266890036	C40H59N		13989,31348
N	554,285242	554,2850634	554,285323	0,468386366	C42H37N		814,766235
N	554,379228	554,3790625	554,379222	0,287619064	C41H49N		6179,510254
N	554,473245	554,4730796	554,473122	0,076472664	C40H61N		6349,202637
N	556,301263	556,3010862	556,300972	-0,205217754	C42H39N		1182,856812
N	556,394996	556,3948299	556,394873	0,077435819	C41H51N		7151,166016
N	556,488761	556,4885953	556,488772	0,317473675	C40H63N		8650,384766
N	558,316898	558,3167232	558,316622	-0,181258137	C42H41N		1814,179321
N	558,41084	558,4106732	558,410522	-0,270789139	C41H53N		8534,608398
N	558,50434	558,5041734	558,504422	0,445085984	C40H65N		11162,92871
N	560,332456	560,3322813	560,332272	-0,016681621	C42H43N		2183,99585
N	560,426125	560,4259573	560,426173	0,38490011	C41H55N		10263,9209
N	560,520302	560,5201233	560,520072	-0,091498065	C40H67N		1268,608887
N	562,348253	562,348079	562,347922	-0,27917132	C42H45N		2871,30542
N	562,442119	562,4419499	562,441822	-0,227481277	C41H57N		8830,615234
N	562,536016	562,5358377	562,535723	-0,203817058	C40H69N		1558,028687
N	564,269629	564,2694402	564,269672	0,41082661	C43H35N		469,458649
N	564,363655	564,3634815	564,363573	0,162082842	C42H47N		3823,300781
N	564,457713	564,457543	564,457472	-0,125710753	C41H59N		11171,97559
N	564,551802	564,5516209	564,551372	-0,440909492	C40H71N		1266,165161
N	566,285742	566,2855539	566,285323	-0,407756572	C43H37N		593,670593
N	566,37947	566,3792964	566,379222	-0,131444527	C42H49N		4725,566406
N	566,473229	566,4730577	566,473122	0,113502953	C41H61N		12376,74316
N	568,301153	568,3009673	568,300972	0,008185867	C43H39N		936,734558
N	568,39506	568,3948865	568,394873	-0,023773557	C42H51N		6352,082031
N	568,488998	568,4888242	568,488772	-0,091808045	C41H63N		5926,40625
N	570,316678	570,3164932	570,316622	0,225828858	C43H41N		1224,89563
N	570,41076	570,4105855	570,410522	-0,111297933	C42H53N		6714,16748
N	570,50438	570,5042059	570,504422	0,378724401	C41H65N		8013,10498
N	572,332663	572,3324784	572,332272	-0,360562045	C43H43N		1472,673706
N	572,426419	572,4262437	572,426173	-0,123576258	C42H55N		7943,953125
N	572,520206	572,5200311	572,520072	0,071498126	C41H67N		10123,6377
N	574,347967	574,3477837	574,347922	0,24081544	C43H45N		2104,291992
N	574,441884	574,4417078	574,441822	0,19872397	C42H57N		9749,785156
N	574,535833	574,5356449	574,535723	0,135927662	C41H69N		1117,477295
N	576,363931	576,3637483	576,363573	-0,30415288	C43H47N		2783,730957
N	576,457503	576,4573253	576,457472	0,254562349	C42H59N		8024,75
N	576,551609	576,5514201	576,551372	-0,083497174	C41H71N		1191,971191
N	578,379409	578,3792266	578,379222	-0,007955945	C43H49N		3598,818115
N	578,47313	578,4729513	578,473122	0,295058857	C42H61N		9790,388672
N	578,567388	578,5671972	578,567023	-0,301093448	C41H73N		1093,408813
N	580,300915	580,3007185	580,300972	0,4368008	C44H39N		614,651489
N	580,395259	580,3950766	580,394873	-0,350779724	C43H51N		4550,606934
N	580,489125	580,4889451	580,488772	-0,298158374	C42H63N		11624,97266
N	582,316856	582,3166603	582,316622	-0,065691584	C44H41N		790,766968
N	582,41083	582,4106472	582,410522	-0,215037769	C43H53N		5576,29541
N	582,504835	582,504652	582,504422	-0,394779961	C42H65N		5303,5
N	584,332376	584,3321817	584,332272	0,154494737	C44H43N		1126,907715
N	584,426485	584,4263016	584,426173	-0,220013548	C43H55N		6602,575195
