Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	374,28524	NaN	374,285323	0,221755957	C27H37N		2694,25293
N	376,207075	NaN	376,207072	-0,007974332	C28H27N		3424,718018
N	376,300962	NaN	376,300973	0,02923192	C27H39N		3811,234863
N	378,222812	NaN	378,222722	-0,237955032	C28H29N		4041,563965
N	380,144481	NaN	380,144473	-0,021044631	C29H19N		964,625305
N	380,238374	NaN	380,238372	-0,005259858	C28H31N		3308,375732
N	382,160285	NaN	382,160123	-0,423906081	C29H21N		1141,836792
N	382,25407	NaN	382,254022	-0,125570948	C28H33N		4493,481934
N	384,175903	NaN	384,175772	-0,340989749	C29H23N		1880,203979
N	384,269786	NaN	384,269672	-0,29666666	C28H35N		5969,152832
N	386,191441	NaN	386,191422	-0,0491984	C29H25N		2731,70752
N	386,285408	NaN	386,285323	-0,220044602	C28H37N		2519,306885
N	388,207017	NaN	388,207072	0,141676966	C29H27N		2523,832031
N	388,301054	NaN	388,300973	-0,208601074	C28H39N		3386,808838
N	390,222759	NaN	390,222722	-0,094817646	C29H29N		3726,758545
N	390,316622	NaN	390,316622		0	C28H41N		5505,976074
N	392,238344	NaN	392,238372	0,071385163	C29H31N		4708,229004
N	394,160263	NaN	394,160123	-0,355185601	C30H21N		1282,656372
N	394,254147	NaN	394,254022	-0,31705447	C29H33N		3846,56543
N	396,175718	NaN	396,175772	0,136303136	C30H23N		1255,359741
N	396,269614	NaN	396,269672	0,146364973	C29H35N		5313,446777
N	398,191483	NaN	398,191422	-0,153192652	C30H25N		2017,891357
N	398,285375	NaN	398,285323	-0,130559669	C29H37N		7347,373535
N	400,207007	NaN	400,207072	0,162415921	C30H27N		2769,765381
N	400,301125	NaN	400,300973	-0,379714291	C29H39N		2562,836182
N	402,222707	NaN	402,222722	0,037292771	C30H29N		3007,396484
N	402,316795	NaN	402,316622	-0,430009576	C29H41N		3919,258545
N	404,238524	NaN	404,238372	-0,376015763	C30H31N		4006,617676
N	404,33232	NaN	404,332272	-0,118714244	C29H43N		6738,021973
N	406,160215	NaN	406,160123	-0,226511651	C31H21N		565,550842
N	406,254155	NaN	406,254022	-0,327381374	C30H33N		5604,966797
N	408,175931	NaN	408,175772	-0,389538064	C31H23N		1375,858643
N	408,269796	NaN	408,269672	-0,303720821	C30H35N		4253,272461
N	410,191371	NaN	410,191422	0,124332195	C31H25N		1286,682983
N	410,285402	NaN	410,285323	-0,19254893	C30H37N		5821,619629
N	412,207003	NaN	412,207072	0,167391597	C31H27N		2228,374756
N	412,30093	NaN	412,300973	0,104292744	C30H39N		8632,188477
N	414,222795	NaN	414,222722	-0,176233693	C31H29N		3089,530762
N	414,316604	NaN	414,316622	0,043445035	C30H41N		2871,652588
N	416,238462	NaN	416,238372	-0,216222256	C31H31N		3358,212891
N	416,332399	NaN	416,332272	-0,305044813	C30H43N		4635,970703
N	418,160229	NaN	418,160123	-0,253491412	C32H21N		554,842285
N	418,253975	NaN	418,254022	0,112371902	C31H33N		4069,656494
N	418,348029	NaN	418,347922	-0,255767973	C30H45N		8391,419922
