Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
NO	304,1707	304,1706121	304,170687	0,246145002	C21H23NO	1348,461914
NO	308,202097	308,2020046	308,201987	-0,057026018	C21H27NO	1271,196899
NO	310,217696	310,2176039	310,217637	0,106596061	C21H29NO	1379,880493
NO	318,186309	318,186214	318,186337	0,386476747	C22H25NO	1579,099365
NO	320,202124	320,2020239	320,201987	-0,115222416	C22H27NO	1351,093506
NO	322,217702	322,2176071	322,217637	0,092795392	C22H29NO	1800,901489
NO	324,233345	324,2332409	324,233287	0,142186668	C22H31NO	1291,989136
NO	330,186508	330,1863979	330,186337	-0,184583905	C23H25NO	1201,719238
NO	332,202117	332,2020122	332,201987	-0,075750603	C23H27NO	1595,687744
NO	334,21779	334,2176777	334,217637	-0,121781077	C23H29NO	1230,905151
NO	336,233422	336,2333188	336,233287	-0,094640452	C23H31NO	1932,965942
NO	344,202105	344,2019875	344,201987	-0,001404119	C24H27NO	1312,089478
NO	346,217796	346,2176841	346,217637	-0,136108392	C24H29NO	1768,611938
NO	348,233362	348,233243	348,233287	0,126364427	C24H31NO	1376,775757
NO	350,248943	350,2488323	350,248937	0,298854044	C24H33NO	2084,768555
NO	358,21776	358,217639	358,217637	-0,00556706	C25H29NO	1650,886841
NO	360,233392	360,2332708	360,233287	0,04493332	C25H31NO	1726,291382
NO	362,248986	362,2488608	362,248937	0,210279106	C25H33NO	1531,27124
NO	364,264557	364,2644363	364,264587	0,413739226	C25H35NO	1954,426514
NO	366,280336	366,2802089	366,280238	0,079391927	C25H37NO	1561,584717
NO	368,201915	368,2017808	368,201987	0,559948182	C26H27NO	1208,833252
NO	368,295956	368,2958209	368,295887	0,179606119	C25H39NO	1162,421387
NO	370,217629	370,2174971	370,217637	0,377955174	C26H29NO	1397,29248
NO	372,233294	372,2331707	372,233287	0,31248135	C26H31NO	2128,086914
NO	374,248971	374,248847	374,248937	0,240566783	C26H33NO	2165,859863
NO	376,264731	376,2646009	376,264587	-0,036832459	C26H35NO	1742,76416
NO	378,280221	378,2800891	378,280238	0,393542044	C26H37NO	1695,480713
NO	380,295958	380,2958201	380,295887	0,175795075	C26H39NO	1373,3125
NO	384,233345	384,2332071	384,233287	0,207975825	C27H31NO	1496,477905
NO	386,249036	386,2489035	386,248937	0,086735789	C27H33NO	1976,475342
NO	388,264758	388,2646209	388,264587	-0,087336857	C27H35NO	1693,631226
NO	390,280409	390,2802779	390,280238	-0,102153581	C27H37NO	2292,5271
NO	392,295892	392,2957545	392,295887	0,337680185	C27H39NO	1816,383545
NO	394,311582	394,3114407	394,311537	0,244179235	C27H41NO	1607,377686
NO	396,233476	396,2333313	396,233287	-0,11182482	C28H31NO	1444,529297
NO	396,327399	396,3272511	396,327187	-0,161772544	C27H43NO	1262,656372
NO	398,24911	398,2489653	398,248937	-0,071014783	C28H33NO	1502,927368
