
#Abundancia das classes heteroatomicas
#Intensidade total: 11619373.000000
#Classe	Int. Relativa (%)
31	24259.041016
32	24257.490234
33	19094.343750
34	13331.895508
35	9338.513672
36	7772.612305
37	6951.427734
38	5663.009766
39	6737.068359
40	10330.163086
41	3714.549316
42	0.000000
43	0.000000
44	0.000000
45	1857.309692

Distribuicao da quantidade de carbonos no DBE10 da classe O2
Num. C	Intensidade
24	5307.879883
25	6181.813477
26	8291.640625
27	9770.550781
28	10676.705078
29	13119.687500
30	14526.713867
31	15555.845703
32	16685.173828
33	13511.726562
34	12315.709961
35	11354.027344
36	9634.649414
37	7120.979492
38	7159.507812
39	7021.064941
40	7554.811035

Distribuicao da quantidade de carbonos no DBE11 da classe O2
Num. C	Intensidade
23	4289.996582
24	4216.965332
25	0.000000
26	6082.348633
27	7238.767578
28	8281.762695
29	8942.034180
30	9281.696289
31	10615.530273
32	15677.314453
33	9063.268555
34	7908.054688
35	7965.969238
36	6460.182129
37	0.000000
38	0.000000
39	5898.828125
40	6708.751953
41	4560.488770
42	3429.876465

Distribuicao da quantidade de carbonos no DBE12 da classe O2
Num. C	Intensidade
24	3823.590088
25	4286.004395
26	0.000000
27	5984.878906
28	6268.494629
29	6177.112793
30	6396.990723
31	7833.867188
32	8281.395508
33	7333.418945
34	6706.925781
35	5784.086426
36	4956.288086
37	5367.115723
38	4578.359375
39	5091.230957
40	4609.052246

Distribuicao da quantidade de carbonos no DBE13 da classe O2
Num. C	Intensidade
25	3190.541260
26	0.000000
27	4824.426758
28	4902.595703
29	5499.600586
30	5625.507812
31	5850.536621
32	6855.138672
33	5351.729004
34	5091.105957
35	0.000000
36	4795.408691
37	4425.909668
38	0.000000
39	4133.527344
40	8455.182617

Distribuicao da quantidade de carbonos no DBE14 da classe O2
Num. C	Intensidade
27	3792.862793
28	3819.346924
29	0.000000
30	3682.209717
31	4320.716309
32	4652.247070
33	4250.488770
34	0.000000
35	3251.140625
36	3712.739990
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	2720.303711
42	2335.902588
43	2298.492432

Distribuicao da quantidade de carbonos no DBE15 da classe O2
Num. C	Intensidade
26	2454.270020
27	0.000000
28	3166.240479
29	3451.116699
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	3570.772217
35	2816.274414
36	2258.178467
37	0.000000
38	0.000000
39	3401.364990

Distribuicao da quantidade de carbonos no DBE16 da classe O2
Num. C	Intensidade
27	2125.044434
28	0.000000
29	2482.399902
30	2481.552490
31	2010.354980
32	2386.280518
33	2522.979004
34	0.000000
35	2063.966797
36	0.000000
37	1961.788818
38	1990.901611
39	2757.886230

Distribuicao da quantidade de carbonos no DBE17 da classe O2
Num. C	Intensidade
25	1638.703979
26	0.000000
27	0.000000
28	1485.930054
29	0.000000
30	1690.180176
31	1649.790649
32	0.000000
33	0.000000
34	1539.419800
35	1268.750000
36	0.000000
37	0.000000
38	0.000000
39	2025.611084
40	3706.992676
41	1336.655396

Distribuicao da quantidade de carbonos no DBE18 da classe O2
Num. C	Intensidade
32	1406.421021
33	0.000000
34	1270.003418
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	1762.466064


#Abundancia relativa do DBE na Classe Heteroatomica O3
#Intensidade total da classe: 3292693.000000
DBE	Int. Relativa (%)
1	6.037263
2	12.613036
3	5.146075
4	3.609793
5	7.506108
6	11.776415
7	10.721699
8	8.464749
9	6.933594
10	6.238280
11	4.885880
12	4.147122
13	3.497164
14	2.397340
15	2.186556
16	1.485193
17	0.945079
18	0.833038
19	0.374589
20	0.201048

Distribuicao da quantidade de carbonos no DBE1 da classe O3
Num. C	Intensidade
22	10205.811523
23	7096.683594
24	38543.210938
25	12363.595703
26	41810.777344
27	8809.673828
28	21590.765625
29	9152.511719
30	11936.237305
31	7659.252441
32	8867.220703
33	5216.581055
34	6488.294922
35	3544.476074
36	3452.858643
37	2050.602783

Distribuicao da quantidade de carbonos no DBE2 da classe O3
Num. C	Intensidade
21	8946.576172
22	14723.878906
23	16351.632812
24	30678.226562
25	24087.783203
26	41817.757812
27	30945.578125
28	42835.546875
29	31249.871094
30	35844.820312
31	27637.210938
32	24770.511719
33	21711.972656
34	20677.351562
35	12907.809570
36	0.000000
37	9438.333984
38	11580.090820
39	0.000000
40	0.000000
41	0.000000
42	4354.521484
43	4749.103516

Distribuicao da quantidade de carbonos no DBE3 da classe O3
Num. C	Intensidade
22	4951.766113
23	5445.162109
24	7052.344238
25	7336.864258
26	10648.942383
27	11679.196289
28	14349.064453
29	13981.756836
30	14382.597656
31	13986.284180
32	15714.485352
33	12315.973633
34	11648.151367
35	9276.329102
36	8246.891602
37	8428.672852

Distribuicao da quantidade de carbonos no DBE4 da classe O3
Num. C	Intensidade
20	6044.992188
21	0.000000
22	0.000000
23	4764.216797
24	6931.225098
25	6941.188965
26	7703.950195
27	11580.791016
28	10301.833008
29	9559.858398
30	9478.149414
31	8968.687500
32	8964.900391
33	7667.304199
34	0.000000
35	7005.764648
36	0.000000
37	6700.410156
38	0.000000
39	6246.121582

Distribuicao da quantidade de carbonos no DBE5 da classe O3
Num. C	Intensidade
20	15207.180664
21	4138.789551
22	4908.981445
23	6387.188477
24	10254.296875
25	9000.809570
26	12833.543945
27	20997.761719
28	22681.699219
29	28026.619141
30	19527.318359
31	15382.036133
32	12540.923828
33	10411.752930
34	9820.680664
35	8724.978516
36	8547.556641
37	8260.888672
38	10742.670898
39	0.000000
40	8757.424805

Distribuicao da quantidade de carbonos no DBE6 da classe O3
Num. C	Intensidade
20	23366.914062
21	0.000000
22	0.000000
23	6334.455566
24	8190.825684
25	10812.697266
26	20527.765625
27	37159.964844
28	42946.410156
29	57185.718750
30	34394.699219
31	34334.789062
32	26467.062500
33	19027.570312
34	14622.102539
35	13810.799805
36	11338.436523
37	10221.519531
38	8751.248047
39	0.000000
40	8268.198242

Distribuicao da quantidade de carbonos no DBE7 da classe O3
Num. C	Intensidade
20	11263.899414
21	3778.514648
22	0.000000
23	5183.457031
24	7154.057129
25	9155.233398
26	13499.227539
27	21906.341797
28	26568.529297
29	33802.414062
30	34511.625000
31	33103.214844
32	34420.199219
33	24068.458984
34	20875.839844
35	16238.908203
36	13253.021484
37	11380.272461
38	9749.282227
39	9732.960938
40	0.000000
41	7124.541504
42	6262.619141

Distribuicao da quantidade de carbonos no DBE8 da classe O3
Num. C	Intensidade
20	22346.302734
21	0.000000
22	0.000000
23	5518.856445
24	6887.291504
25	8238.183594
26	11695.480469
27	14906.295898
28	20895.636719
29	23545.021484
30	25234.677734
31	27933.658203
32	34585.539062
33	22678.029297
34	18410.605469
35	13305.113281
36	0.000000
37	9765.729492
38	0.000000
39	0.000000
40	0.000000
41	6921.422852
42	5850.376465

Distribuicao da quantidade de carbonos no DBE9 da classe O3
Num. C	Intensidade
20	2663.964355
21	0.000000
22	4224.706055
