
#Abundancia das classes heteroatomicas
#Intensidade total: 4826259.500000
#Classe	Int. Relativa (%)
N	30.669363
NO	18.906464
NO2	6.283294
NO3	1.083451
O	13.487015
O2	19.096043
O3S	10.474304


#Abundancia relativa do DBE na Classe Heteroatomica N
#Intensidade total da classe: 1480183.000000
DBE	Int. Relativa (%)
6	0.089432
7	0.521180
8	0.403335
9	11.263864
10	8.722217
11	5.623854
12	14.703147
13	11.093498
14	7.764682
15	10.645116
16	7.321439
17	5.606176
18	5.523825
19	3.571654
20	2.640886
21	2.070559
22	1.288237
23	0.781676
24	0.365303


#Abundancia relativa do DBE na Classe Heteroatomica NO
#Intensidade total da classe: 912475.000000
DBE	Int. Relativa (%)
7	0.652430
8	0.600077
9	0.740277
10	1.544282
11	1.874086
12	2.049824
13	4.041518
14	5.526122
15	11.708502
16	9.577123
17	8.975256
18	13.831493
19	9.346648
20	7.053183
21	7.811673
22	5.060616
23	3.776192
24	2.751795
25	1.678360
26	1.062145
27	0.338448


#Abundancia relativa do DBE na Classe Heteroatomica NO2
#Intensidade total da classe: 303248.062500
DBE	Int. Relativa (%)
7	2.582652
8	2.895814
9	2.756928
10	3.733805
11	5.072864
12	4.922246
13	6.335745
14	7.099998
15	7.093237
16	7.880321
17	7.719975
18	6.301907
19	7.086470
20	7.139791
21	7.221614
22	5.212742
23	3.970417
24	3.620700
25	1.352778


#Abundancia relativa do DBE na Classe Heteroatomica NO3
#Intensidade total da classe: 52290.148438
DBE	Int. Relativa (%)
7	1.557784
10	4.089860
11	2.481966
12	1.562794
13	1.681103
14	5.542903
15	21.805281
16	16.028257
17	7.781314
18	15.418678
19	11.811296
20	5.059508
21	4.429473
22	0.749766


#Abundancia relativa do DBE na Classe Heteroatomica O
#Intensidade total da classe: 650918.312500
DBE	Int. Relativa (%)
4	22.614882
5	18.505503
6	13.248709
7	8.594410
8	8.213005
9	7.343388
10	5.739269
11	4.861948
12	3.755927
13	2.712275
14	2.009556
15	1.341599
16	0.693201
17	0.190580
20	0.175726


#Abundancia relativa do DBE na Classe Heteroatomica O2
#Intensidade total da classe: 921624.562500
DBE	Int. Relativa (%)
1	3.882978
2	1.038819
3	0.777971
4	1.721534
5	20.004383
6	11.131186
7	7.354780
8	5.904466
9	7.101759
10	6.667571
11	6.977539
12	4.771924
13	5.074518
14	4.551290
15	3.806182
16	2.960819
17	2.437870
18	1.752287
19	1.166722
20	0.696926
21	0.218527


#Abundancia relativa do DBE na Classe Heteroatomica O3S
#Intensidade total da classe: 505517.062500
DBE	Int. Relativa (%)
0	0.087296
1	9.002759
2	8.561101
3	5.539961
4	68.765472
5	3.984661
6	2.378057
7	1.208183
8	0.195252
9	0.165086
10	0.112172


#Abundancia relativa do DBE na Classe Heteroatomica N
#Intensidade total da classe: 1480183.000000
DBE	Int. Relativa (%)
6	0.089432
7	0.521180
8	0.403335
9	11.263864
10	8.722217
11	5.623854
12	14.703147
13	11.093498
14	7.764682
15	10.645116
16	7.321439
17	5.606176
18	5.523825
19	3.571654
20	2.640886
21	2.070559
22	1.288237
23	0.781676
24	0.365303

Distribuicao da quantidade de carbonos no DBE6 da classe N
Num. C	Intensidade
33	490.159821
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	442.017365
39	0.000000
40	391.577545

Distribuicao da quantidade de carbonos no DBE7 da classe N
Num. C	Intensidade
30	401.226776
31	518.121033
32	515.498047
33	566.530151
34	573.308044
35	568.950073
36	630.416870
37	577.858765
38	567.189148
39	496.787811
40	495.186188
41	491.224884
42	417.799591
43	495.950165
44	398.364441

Distribuicao da quantidade de carbonos no DBE8 da classe N
Num. C	Intensidade
31	468.233429
32	438.678864
33	494.394196
34	474.529816
35	619.163025
36	550.866211
37	502.677277
38	612.232605
39	485.483185
40	411.244843
41	494.305450
42	418.287811

Distribuicao da quantidade de carbonos no DBE9 da classe N
Num. C	Intensidade
19	388.481384
20	481.450989
21	735.262878
22	1019.517700
