
#Abundancia das classes heteroatomicas
#Intensidade total: 8081875.500000
#Classe	Int. Relativa (%)
NO	5.775529
NO2	16.555880
NO3	13.767462
O2	36.040482
O3	17.172077
O4	7.059282
OS	1.697647
S	1.931517


#Abundancia relativa do DBE na Classe Heteroatomica NO
#Intensidade total da classe: 466771.093750
DBE	Int. Relativa (%)
7	3.655663
8	6.796372
9	8.896498
10	10.856781
11	14.366649
12	12.613458
13	10.812277
14	10.153966
15	8.449054
16	6.580328
17	3.758142
18	2.262569
19	0.798218


#Abundancia relativa do DBE na Classe Heteroatomica NO2
#Intensidade total da classe: 1338025.500000
DBE	Int. Relativa (%)
5	0.859930
6	0.577899
7	4.009470
8	6.611964
9	7.614868
10	8.707668
11	11.557096
12	11.490735
13	10.162919
14	9.711873
15	8.035916
16	6.435220
17	5.071548
18	4.030399
19	2.776165
20	1.651416
21	0.593101
22	0.101822


#Abundancia relativa do DBE na Classe Heteroatomica NO3
#Intensidade total da classe: 1112669.125000
DBE	Int. Relativa (%)
6	0.733438
7	2.971064
8	4.767122
9	6.211675
10	10.166508
11	10.709893
12	10.363004
13	10.776674
14	9.661531
15	8.451743
16	7.337117
17	6.202288
18	4.840819
19	3.554520
20	2.318340
21	0.934241


#Abundancia relativa do DBE na Classe Heteroatomica O2
#Intensidade total da classe: 2912747.000000
DBE	Int. Relativa (%)
1	12.752028
2	6.703699
3	5.292306
4	4.955606
5	10.293787
6	10.253325
7	7.588079
8	7.701783
9	7.810907
10	6.918609
11	4.890634
12	3.959445
13	3.497325
14	2.646514
15	1.898069
16	1.342718
17	0.926722
18	0.427308
19	0.102190
20	0.039005


#Abundancia relativa do DBE na Classe Heteroatomica O3
#Intensidade total da classe: 1387826.000000
DBE	Int. Relativa (%)
1	2.982723
2	4.814159
3	4.210410
4	4.986217
5	6.852753
6	9.103937
7	9.048944
8	9.076609
9	8.460142
10	8.533487
11	7.763560
12	6.250003
13	5.175313
14	4.328344
15	3.102614
16	2.447704
17	1.744901
18	1.033009
19	0.085146


#Abundancia relativa do DBE na Classe Heteroatomica O4
#Intensidade total da classe: 570522.375000
DBE	Int. Relativa (%)
2	1.276525
3	1.787226
4	1.665757
5	5.401135
6	7.627830
7	10.388634
8	10.575201
9	10.337736
10	10.153765
11	9.917979
12	9.282057
13	7.093747
14	5.937180
15	4.266644
16	2.679504
17	1.174447
18	0.434639


#Abundancia relativa do DBE na Classe Heteroatomica OS
#Intensidade total da classe: 137201.718750
DBE	Int. Relativa (%)
7	0.827325
8	5.169025
9	2.934112
10	12.257565
11	8.669911
12	12.013338
13	17.538698
14	11.970901
15	15.457421
16	8.628491
17	4.533207


#Abundancia relativa do DBE na Classe Heteroatomica S
#Intensidade total da classe: 156102.781250
DBE	Int. Relativa (%)
7	4.841475
8	1.747690
9	6.637499
10	10.195750
11	10.649426
12	17.369162
13	15.005136
14	10.064429
15	10.536761
16	7.342404
17	4.803261
18	0.806998


#Abundancia relativa do DBE na Classe Heteroatomica NO
#Intensidade total da classe: 466771.093750
DBE	Int. Relativa (%)
7	3.655663
8	6.796372
9	8.896498
10	10.856781
11	14.366649
12	12.613458
13	10.812277
14	10.153966
15	8.449054
16	6.580328
17	3.758142
18	2.262569
19	0.798218

Distribuicao da quantidade de carbonos no DBE7 da classe NO
Num. C	Intensidade
25	1162.421387
26	0.000000
27	1262.656372
28	1306.828857
29	1380.731201
30	1404.005249
31	1626.484741
32	1386.454346
33	1186.788208
34	1300.872437
