
#Abundancia das classes heteroatomicas
#Intensidade total: 7457151.500000
#Classe	Int. Relativa (%)
55	1491.130371
56	1272.772705
57	1084.176758
58	1177.366699
59	866.562195

Distribuicao da quantidade de carbonos no DBE13 da classe N
Num. C	Intensidade
19	739.712830
20	966.632812
21	1077.174438
22	1517.030762
23	2003.400146
24	3006.001465
25	3954.573975
26	4521.018066
27	5787.729004
28	6332.840820
29	7238.491699
30	6799.742188
31	7438.762695
32	7951.144043
33	7385.725586
34	7960.355957
35	7809.040527
36	85.025879
37	6902.081055
38	6877.862793
39	6202.964844
40	5154.065918
41	5540.740234
42	4990.817871
43	4912.866211
44	4060.279053
45	3455.551025
46	3538.610596
47	123.969727
48	3241.549561
49	2785.538818
50	2430.001709
51	1768.466797
52	2114.664062
53	1762.831055
54	1957.658325
55	1753.089844
56	1531.241455
57	1203.186768
58	1135.265503
59	856.113464

Distribuicao da quantidade de carbonos no DBE14 da classe N
Num. C	Intensidade
22	778.923828
23	1104.472900
24	1514.345215
25	2634.397217
26	3322.853516
27	4277.373535
28	5103.570801
29	6300.753418
30	5806.573730
31	6598.587402
32	6441.817871
33	6397.919922
34	6310.309082
35	405.258301
36	6212.032227
37	5491.350098
38	5128.032715
39	5068.075684
40	4503.654785
41	4727.207031
42	4117.090332
43	3937.032959
44	4148.030762
45	2985.057129
46	2602.703613
47	2583.112793
48	2803.681885
49	2509.932617
50	2199.903564
51	2034.472168
52	1589.693237
53	1755.738159
54	1761.538574
55	1454.192749
56	1158.022217
57	1328.028076
58	1135.715698
59	1103.446777
60	691.061890

Distribuicao da quantidade de carbonos no DBE15 da classe N
Num. C	Intensidade
21	2325.784180
22	4599.159668
23	5531.999512
24	5614.501953
25	5474.754883
26	6037.592285
27	7075.971191
28	7513.125000
29	8098.987305
30	8929.646484
31	8290.792969
32	8799.886719
33	8491.908203
34	8346.858398
35	7434.280273
36	8020.468750
37	7303.246582
38	6762.967773
39	6751.729492
40	5421.894043
41	4520.465332
42	4960.111328
43	4747.202637
44	4116.226074
45	3847.908447
46	3243.009277
47	2974.500488
48	2771.731201
49	2366.541260
50	2368.563477
51	2073.579590
52	1963.945190
53	2010.343018
54	1568.488770
55	1461.199341
56	1506.952881
57	1349.944946
58	1102.307617
59	857.000000
60	805.465576
61	741.800842

Distribuicao da quantidade de carbonos no DBE16 da classe N
Num. C	Intensidade
23	1039.645874
24	1950.071533
25	2589.098877
26	3484.361572
27	4785.130859
28	5294.141113
29	6053.959961
30	6063.259277
31	6734.904297
32	7012.311035
33	5943.336426
34	6163.900879
35	6199.967773
36	6553.403809
37	5652.873535
38	5153.135254
39	5194.274414
40	4812.091309
41	4024.638916
42	3991.818359
43	4079.198486
44	3628.984131
45	3289.148926
46	2881.302246
47	2780.564941
48	2790.841309
49	2545.090820
50	2227.883545
51	1708.732544
52	1939.745361
53	1565.469971
54	1730.839355
55	1174.650879
56	952.454163
57	1348.099731
58	1227.537720
59	919.788391

Distribuicao da quantidade de carbonos no DBE17 da classe N
Num. C	Intensidade
24	1102.388184
25	1704.949951
26	2153.095947
27	3229.272461
28	4238.040039
29	5848.453613
30	6875.785156
31	6296.878418
32	6642.415039
33	5527.427734
34	5574.459961
35	5763.861816
36	4818.570801
37	4891.814941
38	4607.474609
39	4577.663574
40	4203.292480
41	3704.291016
42	3665.343994
43	3685.979736
44	3799.147461
45	3028.287354
46	2583.096436
47	2393.135986
48	2199.443115
49	2303.323242
50	1944.871582
51	1962.665039
52	1664.076172
53	1583.898926
54	1511.184326
55	1534.177124
56	1282.280273
57	982.213135
58	944.898987
59	942.133301
60	868.988708
61	649.708191

