
#Abundancia das classes heteroatomicas
#Intensidade total: 53644924.000000
#Classe	Int. Relativa (%)
N	3.085984
NO2	6.061481
O2	73.467018
O2S	1.724135
O3	8.012257
O4	5.942291
S	1.706812


#Abundancia relativa do DBE na Classe Heteroatomica N
#Intensidade total da classe: 1655474.125000
DBE	Int. Relativa (%)
9	1.962249
10	1.205179
12	13.447208
13	11.048722
14	9.201100
15	17.425161
16	11.913651
17	10.461999
18	9.624768
19	5.682544
20	4.552537
21	2.626444
22	0.848437


#Abundancia relativa do DBE na Classe Heteroatomica NO2
#Intensidade total da classe: 3251677.250000
DBE	Int. Relativa (%)
3	0.103257
7	3.535514
8	4.667888
9	4.273512
10	13.240065
11	14.022677
12	11.842438
13	11.763554
14	10.662253
15	8.702381
16	6.590139
17	4.980406
18	3.356450
19	2.165305
20	0.094167


#Abundancia relativa do DBE na Classe Heteroatomica O2
#Intensidade total da classe: 39411328.000000
DBE	Int. Relativa (%)
1	10.709325
2	21.535440
3	20.328636
4	12.252714
5	8.719290
6	7.349448
7	4.933099
8	3.747142
9	2.664899
10	2.158555
11	1.701827
12	1.276885
13	0.931233
14	0.692608
15	0.483263
16	0.313399
17	0.161633
18	0.040584


#Abundancia relativa do DBE na Classe Heteroatomica O2S
#Intensidade total da classe: 924910.937500
DBE	Int. Relativa (%)
0	1.326791
1	5.783463
2	15.690732
3	13.644890
4	18.922277
5	11.898269
6	7.429575
7	9.571772
8	7.792601
9	4.879669
10	2.042053
11	1.017889


#Abundancia relativa do DBE na Classe Heteroatomica O3
#Intensidade total da classe: 4298169.000000
DBE	Int. Relativa (%)
2	0.068043
3	1.504270
4	1.463358
5	19.476086
6	16.318661
7	14.419999
8	9.309990
9	8.926772
10	8.938276
11	6.296329
12	4.796304
13	3.615569
14	2.664672
15	1.759629
16	0.372174
17	0.069901


#Abundancia relativa do DBE na Classe Heteroatomica O4
#Intensidade total da classe: 3187737.750000
DBE	Int. Relativa (%)
2	10.379669
3	21.669735
4	23.679628
5	13.805342
6	8.971303
7	6.697301
8	4.811410
9	3.646592
10	2.957321
11	2.279253
12	1.009623
13	0.092786


#Abundancia relativa do DBE na Classe Heteroatomica S
#Intensidade total da classe: 915618.000000
DBE	Int. Relativa (%)
7	3.889573
8	1.044493
9	14.340864
10	14.042585
11	14.886970
12	14.794169
13	13.764772
14	11.949156
15	6.765356
16	3.840055
17	0.682009


#Abundancia relativa do DBE na Classe Heteroatomica N
#Intensidade total da classe: 1655474.125000
DBE	Int. Relativa (%)
9	1.962249
10	1.205179
12	13.447208
13	11.048722
14	9.201100
15	17.425161
16	11.913651
17	10.461999
18	9.624768
19	5.682544
20	4.552537
21	2.626444
22	0.848437

Distribuicao da quantidade de carbonos no DBE9 da classe N
Num. C	Intensidade
30	3507.609863
31	3855.456787
32	4344.246582
33	5043.639160
34	4690.295410
35	3964.547607
36	3490.145264
37	3588.583984

Distribuicao da quantidade de carbonos no DBE10 da classe N
Num. C	Intensidade
32	3326.411865
33	3522.223877
34	3341.609131
35	3609.917725
36	3082.759033
37	3068.500488

Distribuicao da quantidade de carbonos no DBE12 da classe N
Num. C	Intensidade
20	3199.586182
21	4196.406250
22	4409.772949
23	5262.143555
24	5326.752441
25	6109.355469
26	6294.466309
27	8019.372070
28	8921.127930
29	10639.671875
30	12967.711914
31	14487.157227
32	14810.836914
33	14269.257812
34	13743.776367
35	12757.093750
36	12329.145508
37	11054.978516
38	10477.410156
39	8909.692383
40	7153.948242
41	6521.846191
42	5581.581543
43	4475.895020
44	4158.959473
45	3362.036133
46	3175.107422

Distribuicao da quantidade de carbonos no DBE13 da classe N
Num. C	Intensidade
23	3109.506592
24	4515.308105
25	4601.215332
26	5489.270508
27	6700.996582
28	6857.257812
29	7757.973145
30	9517.635742
31	10110.439453
32	10460.229492
33	11700.595703
34	11347.515625
35	10358.677734
36	10061.603516
37	9906.373047
38	8851.262695
39	9098.580078
40	7673.229980
41	6894.149902
42	6808.533691
43	5245.992676
44	4233.788086
45	4177.169922
46	3701.069092
47	3730.358154

Distribuicao da quantidade de carbonos no DBE14 da classe N
Num. C	Intensidade
26	3831.029541
27	4436.811523
28	5593.234863
29	7536.129395
30	7224.849121
31	8664.699219
32	9641.930664
33	8932.245117
34	9817.548828
35	9106.942383
36	8524.723633
37	8649.762695
38	7730.280762
39	7623.155762
40	6913.957031
41	6607.086914
42	6690.464355
43	5115.264160
44	4344.639160
45	4389.888672
46	4312.811523
47	3545.187012
48	3089.192383

Distribuicao da quantidade de carbonos no DBE15 da classe N
Num. C	Intensidade
21	5020.618164
22	9380.366211
23	10077.836914
24	10867.409180
25	9766.333984
26	10283.794922
27	9945.617188
28	10572.326172
29	11754.322266
30	13074.591797
31	15180.236328
32	15020.826172
33	15736.421875
34	14283.076172
35	13923.904297
36	12668.751953
37	13491.230469
38	11531.665039
39	9985.513672
40	8933.180664
41	7582.314941
42	7898.488281
43	6654.271973
44	5708.780762
45	5405.017578
46	4817.295410
47	4684.361816
48	3977.316650
49	3799.816895
50	3186.489258
51	3256.840820
