
#Abundancia das classes heteroatomicas
#Intensidade total: 8710929.000000
#Classe	Int. Relativa (%)
25	103530.281250
26	71919.398438
27	26784.865234
28	12298.562500
29	7760.216309
30	4691.559570
31	3439.159668
32	2470.379150
33	2125.868408
34	1419.822144
35	1210.472046
36	883.896423

Distribuicao da quantidade de carbonos no DBE19 da classe N
Num. C	Intensidade
24	2678.701660
25	2860.732178
26	20137.726562
27	36344.425781
28	32232.722656
29	18841.882812
30	10938.642578
31	6586.371094
32	4338.848145
33	3172.737305
34	1884.138916
35	1656.955811
36	1311.143188
37	999.145996

Distribuicao da quantidade de carbonos no DBE20 da classe N
Num. C	Intensidade
26	25524.146484
27	51005.917969
28	52052.511719
29	38267.371094
30	20661.460938
31	12008.827148
32	7383.301270
33	4862.833496
34	2911.930664
35	2211.107910
36	1513.308472
37	1357.539551
38	1162.570923
39	826.009949

Distribuicao da quantidade de carbonos no DBE21 da classe N
Num. C	Intensidade
28	29224.824219
29	59893.808594
30	50865.921875
31	28574.216797
32	15502.055664
33	8911.751953
34	5674.734863
35	3496.635498
36	2339.772461
37	2056.163818
38	1381.459473
39	1044.010864
40	847.894897

Distribuicao da quantidade de carbonos no DBE22 da classe N
Num. C	Intensidade
28	2525.838623
29	5889.615234
30	20564.408203
31	35328.328125
32	32345.289062
33	19484.976562
34	10611.494141
35	6081.261719
36	3697.011963
37	2449.035889
38	1695.832275
39	1410.336792
40	924.516357

Distribuicao da quantidade de carbonos no DBE23 da classe N
Num. C	Intensidade
30	13783.470703
31	32544.111328
32	34299.406250
33	26686.386719
34	16992.082031
35	10975.423828
36	6683.023438
37	4015.043457
38	2607.347168
39	1874.545410
40	1327.354370
41	1021.516602

Distribuicao da quantidade de carbonos no DBE24 da classe N
Num. C	Intensidade
32	9332.183594
33	23233.947266
34	24504.679688
35	17968.119141
36	11456.898438
37	6355.801270
38	3860.762695
39	2685.707031
40	1641.599121
41	1328.581787
42	917.893250

Distribuicao da quantidade de carbonos no DBE25 da classe N
Num. C	Intensidade
32	1652.330933
33	4465.155762
34	9830.473633
35	14229.926758
36	13110.581055
37	8738.494141
38	5676.431152
39	3540.424072
40	2467.510010
41	1725.855591
42	1173.500610
43	836.541260

Distribuicao da quantidade de carbonos no DBE26 da classe N
Num. C	Intensidade
34	3817.847656
35	8322.630859
36	9566.611328
37	9246.490234
38	6686.273438
39	5127.797852
40	3325.399658
41	2051.791992
42	1373.117432
43	970.907959

Distribuicao da quantidade de carbonos no DBE27 da classe N
Num. C	Intensidade
36	2710.731445
37	5760.994629
38	7612.229492
39	6269.282715
40	4098.948242
41	2833.558594
42	1860.010986
43	1286.677612
44	1030.875000

Distribuicao da quantidade de carbonos no DBE28 da classe N
Num. C	Intensidade
37	1299.648071
38	2421.772461
39	3668.937012
40	3782.260742
41	3156.826416
42	2404.446289
43	1504.328979
44	1154.164062

Distribuicao da quantidade de carbonos no DBE29 da classe N
Num. C	Intensidade
39	1380.638428
40	2000.599365
41	2498.451660
42	2179.405029
43	1607.791992
44	1364.698120
45	985.348022

Distribuicao da quantidade de carbonos no DBE30 da classe N
Num. C	Intensidade
41	1118.169312
42	1486.043701
43	1734.056396
44	1574.356201
45	1248.006592

Distribuicao da quantidade de carbonos no DBE31 da classe N
Num. C	Intensidade
43	840.538391
44	1032.154419
45	965.196350
46	1038.477295

Distribuicao da quantidade de carbonos no DBE32 da classe N
Num. C	Intensidade
45	888.450806


#Abundancia relativa do DBE na Classe Heteroatomica NO
#Intensidade total da classe: 1377675.875000
DBE	Int. Relativa (%)
11	0.145338
12	0.315335
13	0.921463
14	1.444271
15	7.664955
16	3.797408
17	4.985062
18	15.736617
19	9.355830
20	6.367220
21	12.969247
22	8.723202
23	7.386168
24	7.178350
25	4.357824
26	3.260627
27	1.905791
28	1.390175
29	0.830456
30	0.593510
31	0.343517
32	0.208065
33	0.119567

Distribuicao da quantidade de carbonos no DBE11 da classe NO
Num. C	Intensidade
16	938.221619
17	1064.064209

Distribuicao da quantidade de carbonos no DBE12 da classe NO
Num. C	Intensidade
15	823.189819
16	1417.777832
17	1277.542969
18	825.780396

Distribuicao da quantidade de carbonos no DBE13 da classe NO
Num. C	Intensidade
17	2684.685547
18	4215.622070
19	3125.596680
20	1644.109619
21	1024.755859

Distribuicao da quantidade de carbonos no DBE14 da classe NO
Num. C	Intensidade
19	2545.437012
20	5571.704102
21	4736.152344
22	2590.049316
23	1590.466553
24	1130.508545
25	836.954529
26	0.000000
27	896.106201

Distribuicao da quantidade de carbonos no DBE15 da classe NO
Num. C	Intensidade
19	14238.756836
20	29763.716797
21	25010.058594
22	12921.443359
23	7334.426758
24	4666.352539
25	2731.614746
26	1562.279907
27	1557.708008
28	1422.571167
29	1287.722534
30	1094.652344
31	989.905273
32	1017.026733

Distribuicao da quantidade de carbonos no DBE16 da classe NO
Num. C	Intensidade
21	6974.621094
22	11580.271484
23	11210.538086
24	7701.138184
25	0.000000
26	3425.409912
27	2675.272705
28	2180.499512
29	1873.921509
30	1464.243652
31	1352.198730
32	980.269775
33	897.589966

Distribuicao da quantidade de carbonos no DBE17 da classe NO
Num. C	Intensidade
21	1902.388184
22	3626.221436
23	7959.436523
24	13725.789062
25	13111.766602
26	8185.879883
27	5082.411133
28	3849.932373
29	2895.878418
30	2518.426270
31	1885.274292
32	1698.047119
33	1153.939087
34	1082.607544

Distribuicao da quantidade de carbonos no DBE18 da classe NO
Num. C	Intensidade
23	25299.250000
24	57780.265625
25	53820.539062
26	28661.460938
27	16013.659180
28	10632.727539
29	6659.185547
30	4691.823242
31	3540.444580
32	2549.106445
33	2135.081787
34	1743.990723
35	1460.412231
36	889.358765
37	922.270264

Distribuicao da quantidade de carbonos no DBE19 da classe NO
Num. C	Intensidade
24	1151.182983
25	12807.724609
26	25826.611328
27	27348.433594
28	20579.847656
29	11752.295898
30	8488.452148
31	5879.713379
32	3822.903809
33	2888.515137
34	2246.617188
35	1723.796387
36	1387.040405
37	1256.390991
38	933.662109
39	799.836792

Distribuicao da quantidade de carbonos no DBE20 da classe NO
Num. C	Intensidade
25	3743.116455
26	7454.514648
27	13530.401367
28	19716.154297
29	0.000000
30	13792.227539
31	9194.253906
32	6428.193848
33	4177.073730
34	2800.399414
35	2163.236084
36	1606.129639
37	1230.694946
38	1053.914307
39	829.334839

Distribuicao da quantidade de carbonos no DBE21 da classe NO
Num. C	Intensidade
27	18487.609375
28	50346.960938
29	54031.656250
30	0.000000
31	20034.232422
32	12047.969727
33	8064.437988
34	5044.486328
35	3473.526367
36	2543.703613
37	1954.227783
38	1409.866943
39	1235.498901

Distribuicao da quantidade de carbonos no DBE22 da classe NO
Num. C	Intensidade
28	1704.663330
29	10256.458008
30	23208.259766
31	25697.402344
32	20318.833984
33	13225.045898
34	8748.666016
35	5502.496094
36	3363.284180
37	2563.807373
38	2099.679932
39	1523.986328
40	993.470947
41	971.407715

Distribuicao da quantidade de carbonos no DBE23 da classe NO
Num. C	Intensidade
29	4587.693359
30	12275.590820
31	18281.015625
32	19099.408203
33	15593.529297
34	11048.175781
35	7506.605469
36	4607.135742
37	3146.785400
38	1914.682007
39	1491.204224
40	1252.533081
41	953.083801

Distribuicao da quantidade de carbonos no DBE24 da classe NO
Num. C	Intensidade
31	8033.495605
32	20186.888672
33	20809.347656
34	16445.904297
35	10831.709961
36	7124.234375
37	5133.157227
38	3308.504639
39	2212.482666
40	1685.950195
41	1359.341675
42	943.157288
43	0.000000
44	820.212341

Distribuicao da quantidade de carbonos no DBE25 da classe NO
Num. C	Intensidade
32	1356.193115
33	4900.330566
34	10738.499023
35	12502.214844
36	9804.901367
37	6712.559082
38	4491.020508
39	3153.927979
40	2045.193604
41	1482.350830
42	1145.973511
43	863.108643
44	840.410889

Distribuicao da quantidade de carbonos no DBE26 da classe NO
Num. C	Intensidade
33	1986.299194
34	4985.085449
35	7130.843262
36	7198.229004
37	6213.190430
38	5435.749512
39	3971.704834
40	2479.413574
41	2128.697266
42	1473.341553
43	1115.425903
44	802.898254

Distribuicao da quantidade de carbonos no DBE27 da classe NO
Num. C	Intensidade
35	1655.806152
36	0.000000
37	5384.865723
38	4646.542480
39	4841.700684
40	3353.600586
41	2424.857910
42	1786.713135
43	1269.483398
44	892.055664

Distribuicao da quantidade de carbonos no DBE28 da classe NO
Num. C	Intensidade
37	1296.351074
38	2485.233398
39	3398.904541
40	3240.893555
41	2763.673096
42	2212.546875
43	1693.880249
44	1121.494263
45	939.125549
